Club_Club,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK_Unnamed: 24_level_1,Temporada
Piacenza,22,86,1440,553,1959,171,440,199,-14,1462,123,687,279,191,11,2056,134,148,1095,533,47,174,202,,2025
Padova,22,87,1287,406,1893,99,383,114,-15,1584,157,742,318,201,10,2125,159,199,1020,480,41,168,193,,2025
Modena,22,86,1432,569,2010,202,512,235,-15,1453,125,622,390,268,18,2013,158,143,1062,528,45,168,195,,2025
Lube,22,85,1395,540,1954,182,473,214,-15,1443,129,606,385,267,18,2032,130,161,1057,520,46,156,184,,2025
Cisterna,22,84,1186,342,1764,89,429,106,-19,1572,187,688,334,212,9,1984,126,155,962,485,42,136,162,,2025
Verona,22,77,1293,470,1798,140,473,182,-19,1312,130,644,219,167,7,1744,96,114,1000,573,52,153,199,,2025
Trento,22,80,1329,510,1855,121,357,151,-13,1326,131,672,209,158,6,1878,110,109,1017,542,48,191,239,,2025
Monza,22,80,1228,434,1773,88,331,110,-14,1468,144,649,332,226,13,1989,126,162,947,476,41,193,241,,2025
Perugia,22,83,1345,574,1935,119,332,143,-11,1275,109,619,260,204,12,1934,113,143,1037,536,48,189,228,,2025
Milano,22,80,1213,444,1784,114,333,142,-12,1408,140,648,293,208,11,1978,118,190,953,482,42,146,182,,2025
Cuneo,22,79,1082,339,1677,75,386,95,-19,1440,151,686,295,205,10,1888,157,170,893,473,39,114,144,,2025
Grottazzolina,22,79,1058,317,1622,89,353,113,-16,1478,190,676,315,213,8,1879,129,199,864,460,39,105,133,,2025
Padova,22,91,1424,464,2036,120,408,132,-14,1653,138,709,409,247,16,2274,160,196,1118,492,42,186,204,,2024
Taranto,22,88,1341,440,1909,113,383,128,-14,1668,176,907,279,167,6,2172,159,194,1044,481,41,184,209,,2024
Trento,22,84,1448,548,2014,113,368,135,-13,1421,101,639,315,222,15,2137,111,135,1121,525,47,214,255,,2024
Modena,22,86,1422,524,1924,148,421,172,-14,1560,153,712,369,237,14,2136,166,168,1107,518,44,167,194,,2024
Piacenza,22,85,1368,479,1892,140,406,165,-14,1553,151,740,336,216,12,2101,147,185,1059,504,43,169,199,,2024
Grottazzolina,22,87,1301,414,1860,136,395,156,-14,1662,171,718,434,261,16,2152,144,230,1016,472,41,149,171,,2024
Cisterna,22,89,1326,464,1931,113,379,127,-14,1601,159,788,351,219,12,2208,164,173,1016,460,39,197,221,,2024
Milano,22,81,1348,492,1923,131,409,162,-14,1512,155,673,328,217,11,2174,144,178,1060,488,42,157,194,,2024
Lube,22,81,1343,492,1845,126,390,156,-14,1407,115,643,336,239,16,1993,129,138,1024,514,45,193,238,,2024
Monza,22,82,1227,390,1810,88,365,107,-15,1567,157,716,355,227,13,2061,121,218,962,467,41,177,216,,2024
Verona,22,82,1326,494,1862,114,317,139,-11,1413,143,631,324,229,13,2014,111,186,1043,518,46,169,206,,2024
Perugia,22,86,1470,644,2039,200,399,233,-10,1385,109,613,349,252,17,2063,127,172,1060,514,45,211,245,,2024
Taranto,22,94,1373,422,1973,107,386,114,-14,1770,151,728,515,291,21,2373,203,217,1103,465,38,164,174,,2023
Piacenza,22,88,1464,547,2009,157,386,178,-11,1555,147,684,399,257,16,2240,174,159,1122,501,42,189,215,,2023
Perugia,22,83,1440,560,1929,152,369,183,-11,1409,121,612,387,275,19,1998,150,160,1079,540,46,209,252,,2023
Verona,22,84,1372,494,1884,111,279,132,-9,1527,146,665,357,234,14,2190,131,191,1061,484,42,200,238,,2023
Modena,22,85,1334,459,1830,135,378,159,-13,1537,128,678,407,265,18,2152,166,196,1071,498,42,128,151,,2023
Milano,22,86,1351,478,1915,109,337,127,-12,1478,126,671,351,237,15,2136,113,161,1041,487,43,201,234,,2023
Cisterna,22,85,1314,449,1839,120,359,141,-13,1585,172,825,302,191,8,2106,146,154,1018,483,41,176,207,,2023
Monza,22,82,1352,494,1858,114,351,139,-13,1429,125,616,312,218,13,2072,118,147,1057,510,45,181,221,,2023
Trento,22,80,1370,513,1880,122,334,152,-11,1340,112,559,395,295,21,2021,112,122,1049,519,46,200,250,,2023
Lube,22,84,1321,479,1897,109,314,130,-11,1499,145,651,392,262,16,2149,141,160,1043,485,42,169,201,,2023
Padova,22,84,1249,411,1791,121,379,144,-14,1582,182,674,373,236,12,2130,159,168,983,462,39,146,174,,2023
Acicastello,22,83,1206,374,1724,81,327,98,-14,1602,136,786,361,225,14,2284,162,237,1015,444,37,110,133,,2023
Piacenza,22,88,1446,524,1998,164,433,186,-13,1582,126,786,362,229,15,2186,152,156,1106,506,44,176,200,,2022
Taranto,22,82,1307,397,1819,86,333,105,-14,1555,119,721,321,206,13,2149,139,174,1083,504,44,138,168,,2022
Trento,22,86,1491,584,2016,145,345,169,-10,1538,130,692,311,202,12,2264,143,161,1135,501,44,211,245,,2022
Monza,22,83,1405,505,1899,135,357,163,-12,1565,130,739,317,203,12,2219,167,168,1072,483,41,198,239,,2022
Milano,22,83,1355,469,1887,114,386,137,-14,1547,96,803,330,213,15,2275,124,169,1067,469,41,174,210,,2022
Modena,22,85,1367,482,1916,137,384,161,-13,1561,120,679,400,256,18,2212,135,205,1075,486,42,155,182,,2022
Padova,22,87,1296,411,1827,109,359,125,-14,1636,164,723,326,199,10,2236,161,190,1051,470,40,136,156,,2022
Cisterna Top Volley,22,87,1363,486,1954,116,303,133,-10,1578,164,729,325,206,10,2224,161,156,1052,473,40,195,224,,2022
Verona,22,86,1383,529,1910,123,323,143,-10,1535,189,710,322,210,9,1997,131,149,1069,535,47,191,222,,2022
Lube,22,82,1299,479,1833,122,301,149,-10,1465,142,645,341,233,14,2092,137,175,1027,491,43,150,183,,2022
Perugia,22,77,1405,593,1847,163,366,212,-11,1272,95,566,332,261,19,1896,101,123,1048,553,50,194,252,,2022
Siena,22,80,1166,372,1691,69,290,86,-13,1579,110,718,389,246,18,2250,158,243,947,421,35,150,187,,2022
Modena,24,96,1619,614,2241,144,367,150,-10,1715,137,777,432,252,17,2494,157,213,1287,516,45,188,196,,2021
Verona,24,93,1485,489,2058,109,349,117,-12,1786,161,840,459,257,17,2458,148,226,1184,482,42,192,206,,2021
Milano,24,94,1517,530,2126,125,384,133,-12,1731,132,742,461,266,19,2476,160,173,1162,469,40,231,246,,2021
Piacenza,24,91,1478,495,2054,115,404,126,-14,1686,114,707,514,305,24,2430,195,205,1164,479,40,199,219,,2021
Cisterna Top Volley,24,95,1510,537,2131,100,285,105,-9,1767,153,819,417,236,15,2519,201,181,1177,467,39,233,245,,2021
Taranto,24,90,1410,444,1952,70,343,78,-14,1754,166,703,500,285,19,2408,183,210,1141,474,40,199,221,,2021
Trento,24,92,1571,610,2132,131,320,142,-9,1604,149,714,362,226,13,2338,142,169,1205,515,45,235,255,,2021
Monza,24,92,1491,538,2029,134,383,146,-12,1679,138,753,376,224,14,2334,169,189,1158,496,42,199,216,,2021
Perugia,24,88,1575,635,2107,171,395,194,-11,1487,89,639,379,255,20,2244,131,155,1171,522,46,233,265,,2021
Padova,24,95,1451,513,2062,191,504,201,-15,1764,140,831,381,216,14,2409,215,188,1102,457,37,158,166,,2021
Vibo Valentia,24,86,1339,429,1903,99,378,115,-15,1645,124,701,448,272,20,2385,162,219,1067,447,38,173,201,,2021
Lube,24,82,1399,544,1933,147,281,179,-7,1405,111,585,378,269,19,2069,141,150,1083,523,46,169,206,,2021
Ravenna,24,86,1159,348,1728,85,315,99,-13,1718,155,770,443,258,17,2353,192,254,951,404,32,123,143,,2021
Vibo Valentia,22,85,1382,465,1932,108,328,127,-11,1590,142,682,329,207,12,2287,167,177,1113,487,41,162,191,,2020
Lube,22,85,1461,555,1971,147,323,173,-9,1474,112,663,339,230,15,2070,134,144,1124,543,48,190,224,,2020
Milano,22,89,1399,503,1977,82,316,92,-12,1632,128,772,327,200,12,2426,163,169,1127,465,40,192,216,,2020
Monza,22,88,1425,538,1994,140,392,159,-13,1541,151,693,325,211,11,2220,161,177,1068,481,41,219,249,,2020
Verona,22,85,1346,466,1920,105,299,124,-10,1611,146,677,366,227,14,2265,136,184,1066,471,41,175,206,,2020
Piacenza,22,83,1335,472,1884,111,313,134,-11,1504,108,704,344,229,16,2139,172,179,1047,489,41,177,213,,2020
Ravenna,22,85,1283,423,1849,82,304,96,-12,1653,139,745,417,252,17,2292,179,174,1020,445,37,182,214,,2020
Padova,22,84,1277,424,1822,120,414,143,-16,1619,168,661,405,250,15,2180,166,189,998,458,38,159,189,,2020
Perugia,22,78,1348,510,1840,129,337,165,-11,1410,94,641,331,235,17,2055,144,155,1043,508,44,176,226,,2020
Trento,22,80,1372,535,1881,159,376,199,-12,1388,115,563,358,258,18,1925,152,162,1031,536,46,182,227,,2020
Cisterna Top Volley,22,80,1179,351,1687,87,371,109,-17,1590,148,733,380,239,15,2081,188,186,952,457,37,140,175,,2020
Modena,22,82,1328,506,1897,124,354,151,-12,1507,135,709,346,230,14,2252,128,213,1048,465,41,156,190,,2020
Trento,21,83,1400,500,1925,107,319,129,-11,1479,104,595,411,278,21,2187,134,169,1099,503,44,194,234,,2019
Piacenza,19,77,1234,392,1704,111,329,144,-13,1485,137,637,354,238,15,1982,129,163,973,491,43,150,195,,2019
Ravenna,21,80,1269,427,1741,98,311,122,-12,1522,143,667,448,294,20,2061,153,184,988,479,41,183,229,,2019
Cisterna Top Volley,20,82,1291,458,1796,110,309,134,-11,1578,154,715,356,226,13,2123,148,169,1033,487,42,148,180,,2019
Vibo Valentia,20,78,1216,390,1698,82,334,105,-15,1493,131,709,251,168,8,2020,147,174,977,484,41,157,201,,2019
Perugia,20,75,1308,487,1762,132,315,176,-10,1287,89,561,327,254,18,1899,128,116,1030,542,47,146,195,,2019
Monza,20,79,1240,427,1725,104,296,132,-11,1456,135,684,309,212,12,2027,130,184,975,481,42,161,204,,2019
Modena,21,74,1330,544,1783,166,333,224,-9,1263,113,524,352,279,19,1831,111,141,995,543,48,169,228,,2019
Verona,20,78,1184,401,1681,92,277,118,-11,1446,156,649,319,221,11,1969,138,169,912,463,39,180,231,,2019
Padova,19,73,1158,394,1624,100,318,137,-13,1370,121,557,359,262,17,1855,143,172,917,494,42,141,193,,2019
Milano,19,69,1180,455,1602,109,312,158,-13,1258,101,613,281,223,14,1870,134,162,925,495,42,146,212,,2019
Lube,20,73,1230,508,1725,121,269,166,-9,1180,101,495,272,231,14,1785,113,121,927,519,46,182,249,,2019
Sora,20,71,958,297,1432,57,261,80,-14,1389,145,605,336,242,14,1825,158,157,780,427,34,121,170,,2019
