season,home_club,away_club,home_sets,away_sets
2025/2026,MilanoMilano,PerugiaPerugia,3,2
2025/2026,PiacenzaPiacenza,ModenaModena,3,1
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,TarantoTaranto,3,1
2025/2026,TrentinoTrentino,PadovaPadova,1,3
2025/2026,VeronaVerona,Lube CivitanovaLube Civitanova,0,3
2025/2026,MonzaMonza,CisternaCisterna,3,0
2025/2026,CisternaCisterna,VeronaVerona,0,3
2025/2026,ModenaModena,Sviluppo Sud CataniaSviluppo Sud Catania,3,1
2025/2026,PerugiaPerugia,TrentinoTrentino,3,1
2025/2026,TarantoTaranto,MilanoMilano,1,3
2025/2026,Lube CivitanovaLube Civitanova,PiacenzaPiacenza,0,3
2025/2026,PadovaPadova,MonzaMonza,1,3
2025/2026,MilanoMilano,VeronaVerona,3,0
2025/2026,Lube CivitanovaLube Civitanova,CisternaCisterna,3,2
2025/2026,TrentinoTrentino,ModenaModena,3,0
2025/2026,PadovaPadova,PerugiaPerugia,0,3
2025/2026,PiacenzaPiacenza,TarantoTaranto,2,3
2025/2026,MonzaMonza,Sviluppo Sud CataniaSviluppo Sud Catania,3,0
2025/2026,CisternaCisterna,PerugiaPerugia,1,3
2025/2026,ModenaModena,TarantoTaranto,3,2
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,PadovaPadova,2,3
2025/2026,TrentinoTrentino,Lube CivitanovaLube Civitanova,3,1
2025/2026,VeronaVerona,PiacenzaPiacenza,3,1
2025/2026,MilanoMilano,MonzaMonza,1,3
2025/2026,ModenaModena,CisternaCisterna,3,0
2025/2026,PadovaPadova,MilanoMilano,3,2
2025/2026,TarantoTaranto,Lube CivitanovaLube Civitanova,1,3
2025/2026,PerugiaPerugia,VeronaVerona,2,3
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,TrentinoTrentino,0,3
2025/2026,PiacenzaPiacenza,MonzaMonza,2,3
2025/2026,TarantoTaranto,CisternaCisterna,1,3
2025/2026,Lube CivitanovaLube Civitanova,ModenaModena,3,0
2025/2026,PiacenzaPiacenza,PerugiaPerugia,3,1
2025/2026,MonzaMonza,TrentinoTrentino,0,3
2025/2026,MilanoMilano,Sviluppo Sud CataniaSviluppo Sud Catania,3,0
2025/2026,VeronaVerona,PadovaPadova,3,0
2025/2026,PadovaPadova,ModenaModena,3,1
2025/2026,CisternaCisterna,PiacenzaPiacenza,3,1
2025/2026,MonzaMonza,VeronaVerona,2,3
2025/2026,PerugiaPerugia,TarantoTaranto,3,0
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,Lube CivitanovaLube Civitanova,2,3
2025/2026,TrentinoTrentino,MilanoMilano,3,0
2025/2026,CisternaCisterna,PadovaPadova,3,1
2025/2026,Lube CivitanovaLube Civitanova,MilanoMilano,3,2
2025/2026,VeronaVerona,Sviluppo Sud CataniaSviluppo Sud Catania,3,1
2025/2026,TarantoTaranto,MonzaMonza,1,3
2025/2026,PiacenzaPiacenza,TrentinoTrentino,1,3
2025/2026,ModenaModena,PerugiaPerugia,0,3
2025/2026,PerugiaPerugia,Lube CivitanovaLube Civitanova,3,0
2025/2026,TrentinoTrentino,VeronaVerona,3,1
2025/2026,MonzaMonza,ModenaModena,2,3
2025/2026,MilanoMilano,CisternaCisterna,3,0
2025/2026,PadovaPadova,TarantoTaranto,2,3
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,PiacenzaPiacenza,1,3
2025/2026,CisternaCisterna,Sviluppo Sud CataniaSviluppo Sud Catania,3,1
2025/2026,PerugiaPerugia,MonzaMonza,3,0
2025/2026,ModenaModena,VeronaVerona,0,3
2025/2026,TarantoTaranto,TrentinoTrentino,0,3
2025/2026,Lube CivitanovaLube Civitanova,PadovaPadova,3,0
2025/2026,PiacenzaPiacenza,MilanoMilano,3,2
2025/2026,MilanoMilano,ModenaModena,3,0
2025/2026,MonzaMonza,Lube CivitanovaLube Civitanova,1,3
2025/2026,PadovaPadova,PiacenzaPiacenza,1,3
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,PerugiaPerugia,0,3
2025/2026,TrentinoTrentino,CisternaCisterna,3,0
2025/2026,VeronaVerona,TarantoTaranto,3,1
2025/2026,CisternaCisterna,MonzaMonza,3,1
2025/2026,ModenaModena,PiacenzaPiacenza,0,3
2025/2026,PadovaPadova,TrentinoTrentino,0,3
2025/2026,PerugiaPerugia,MilanoMilano,2,3
2025/2026,TarantoTaranto,Sviluppo Sud CataniaSviluppo Sud Catania,3,1
2025/2026,Lube CivitanovaLube Civitanova,VeronaVerona,2,3
2025/2026,MonzaMonza,PadovaPadova,3,0
2025/2026,VeronaVerona,CisternaCisterna,3,0
2025/2026,MilanoMilano,TarantoTaranto,3,2
2025/2026,PiacenzaPiacenza,Lube CivitanovaLube Civitanova,2,3
2025/2026,TrentinoTrentino,PerugiaPerugia,3,1
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,ModenaModena,2,3
2025/2026,VeronaVerona,MilanoMilano,3,2
2025/2026,ModenaModena,TrentinoTrentino,3,1
2025/2026,Sviluppo Sud CataniaSviluppo Sud Catania,MonzaMonza,1,3
2025/2026,TarantoTaranto,PiacenzaPiacenza,1,3
2025/2026,CisternaCisterna,Lube CivitanovaLube Civitanova,1,3
2025/2026,MonzaMonza,MilanoMilano,0,3
2025/2026,PiacenzaPiacenza,VeronaVerona,3,0
2025/2026,Lube CivitanovaLube Civitanova,TrentinoTrentino,0,3
2025/2026,PadovaPadova,Sviluppo Sud CataniaSviluppo Sud Catania,3,1
