partido_id,temporada,jornada_num,local,visitante,h_win_rate_global,h_win_rate_last5,h_win_rate_home,h_win_rate_away,h_pts_fav_exp,h_pts_con_exp,h_set_win_rate,h_set_diff_exp,h_forma_home,h_forma_away,h_ultimo_set_diff,h_racha,h_h2h_set_diff_exp,h_h2h_win_rate,a_win_rate_global,a_win_rate_last5,a_win_rate_home,a_win_rate_away,a_pts_fav_exp,a_pts_con_exp,a_set_win_rate,a_set_diff_exp,a_forma_home,a_forma_away,a_ultimo_set_diff,a_racha,a_h2h_set_diff_exp,a_h2h_win_rate,diff_win_rate_global,diff_win_rate_last5,diff_set_win_rate,diff_set_diff_exp,diff_pts_fav_exp,diff_pts_con_exp,diff_racha,diff_ultimo_set_diff,diff_rank_season,diff_forma_efectiva,h_descanso,a_descanso,diff_descanso,h_rank_season,a_rank_season,elo_h,elo_a,elo_h_home,elo_a_away,elo_diff,elo_win_prob_h,set_ratio_h,set_ratio_a,point_ratio_h,point_ratio_a,dominancia_h,dominancia_a,diff_set_ratio,diff_dominancia,sos_h,sos_a,diff_sos,h_roster_continuity,a_roster_continuity,diff_roster_continuity,gana_local
2016/2017_Centr_Pool _1Round,2016/2017,1,Pool Libertas Cantù,Centrale del Latte McDonald's Brescia,0.5,0.5,0.5,0.5,20.8,19.4,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.5,0.5,0.5,0.5,19.4,20.8,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.0,0.0,0.0,0.0,1.4000000000000021,-1.4000000000000021,0,0,0,0.0,7,7,0,0,0,1500.0,1500.0,1560.0,1500.0,0.0,0.5854986786718095,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Gi Gr_Lube_1Round,2016/2017,1,Monza,Lube,0.5,0.5,0.5,0.5,17.333333333333332,25.0,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.5,0.5,0.5,0.5,25.0,17.333333333333332,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.0,0.0,0.0,0.0,-7.666666666666668,7.666666666666668,0,0,0,0.0,7,7,0,0,0,1500.0,1500.0,1560.0,1500.0,0.0,0.5854986786718095,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Azimu_Milan_2Round,2016/2017,2,Milano,Modena,0.5,0.5,0.5,0.5,21.5,24.5,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.5,0.5,0.5,0.5,24.5,21.5,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.0,0.0,0.0,0.0,-3.0,3.0,0,0,0,0.0,7,7,0,0,0,1500.0,1500.0,1560.0,1500.0,0.0,0.5854986786718095,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Basi _Emma _2Round,2016/2017,2,Basi Grafiche Geosat Lagonegro,Siena,0.5,0.5,0.5,0.5,19.333333333333332,25.0,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.5,0.5,0.5,0.5,25.0,19.333333333333332,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.0,0.0,0.0,0.0,-5.666666666666668,5.666666666666668,0,0,0,0.0,7,7,0,0,0,1500.0,1500.0,1560.0,1500.0,0.0,0.5854986786718095,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Kioen_Sir S_2Round,2016/2017,2,Perugia,Padova,0.5,0.5,0.5,0.5,22.75,21.5,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.5,0.5,0.5,0.5,21.5,22.75,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.0,0.0,0.0,0.0,1.25,-1.25,0,0,0,0.0,7,7,0,0,0,1500.0,1500.0,1560.0,1500.0,0.0,0.5854986786718095,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Diate_Kioen_3Round,2016/2017,3,Padova,Trento,0.0,0.0,0.0,0.0,19.8,21.6,0.25,-2.0,0.43527528164806206,0.43527528164806206,0,-1,0.0,0.5,0.5,0.5,0.5,0.5,21.6,19.8,0.5,0.0,0.5,0.5,0,0,0.0,0.5,-0.5,-0.5,-0.25,-2.0,-1.8000000000000007,1.8000000000000007,-1,0,0,-0.06472471835193794,7,7,0,0,0,1486.6530574532323,1500.0,1546.6530574532323,1500.0,-13.34694254676765,0.5667385148180651,0.25,0.5,0.4858757062146893,0.5,-0.25,0.0,-0.25,-0.25,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Gi Gr_Milan_3Round,2016/2017,3,Monza,Milano,0.0,0.0,0.0,0.0,25.0,19.0,0.0,-3.0,0.43527528164806206,0.43527528164806206,0,-1,0.0,0.5,0.0,0.0,0.0,0.0,19.0,25.0,0.25,-2.0,0.43527528164806206,0.43527528164806206,0,-1,0.0,0.5,0.0,0.0,-0.25,-1.0,6.0,-6.0,0,0,0,0.0,7,7,0,0,0,1478.6878480963462,1481.1469425467678,1538.6878480963462,1481.1469425467678,-2.459094450421617,0.5820591302600592,0.0,0.25,0.4094488188976378,0.4673913043478261,-0.5,-0.25,-0.25,-0.25,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Azimu_Kioen_4Round,2016/2017,4,Modena,Padova,1.0,1.0,1.0,1.0,26.333333333333332,24.0,0.75,2.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,0.0,0.0,0.0,0.0,24.0,26.333333333333332,0.3333333333333333,-1.5,0.3789291416275995,0.3789291416275995,0,-2,0.0,0.5,1.0,1.0,0.4166666666666667,3.5,2.333333333333332,-2.333333333333332,3,0,0,0.18579557672433844,7,7,0,0,0,1518.8530574532322,1470.7843790383265,1578.8530574532322,1470.7843790383265,48.06867841490566,0.6506944916541039,0.75,0.3333333333333333,0.532608695652174,0.4817708333333333,0.25,-0.16666666666666669,0.4166666666666667,0.4166666666666667,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,1
2016/2017_Basi _Pool _4Round,2016/2017,4,Pool Libertas Cantù,Basi Grafiche Geosat Lagonegro,1.0,1.0,1.0,1.0,20.75,25.25,0.6,1.0,0.5647247183519379,0.5647247183519379,0,1,0.0,0.5,0.0,0.0,0.0,0.0,25.25,20.75,0.0,-3.0,0.43527528164806206,0.43527528164806206,0,-1,0.0,0.5,1.0,1.0,0.6,4.0,-4.5,4.5,2,0,0,0.12944943670387588,7,7,0,0,0,1511.6060369971892,1478.6878480963462,1571.6060369971892,1478.6878480963462,32.918188900843006,0.6306205948293034,0.6,0.0,0.5174129353233831,0.43609022556390975,0.09999999999999998,-0.5,0.6,0.6,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
2016/2017_Basi _Sigma_4Round,2016/2017,4,Basi Grafiche Geosat Lagonegro,Sigma Aversa,0.5,0.5,0.0,1.0,21.75,24.5,0.42857142857142855,-0.5,0.5083785783314754,0.5083785783314754,0,1,0.0,0.5,0.5,0.5,0.5,0.5,24.5,21.75,0.5,0.0,0.5,0.5,0,0,0.0,0.5,0.0,0.0,-0.07142857142857145,-0.5,-2.75,2.75,1,0,0,0.008378578331475373,7,7,0,0,0,1498.9938312498498,1500.0,1558.9938312498498,1500.0,-1.0061687501502092,0.5840923324053158,0.42857142857142855,0.5,0.501577287066246,0.5,-0.07142857142857145,0.0,-0.07142857142857145,-0.07142857142857145,0.5,0.5,0.0,0.4687719298245614,0.4687719298245614,0.0,0
