partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,elo_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,diff_set_ratio,diff_dominancia,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2016/2017_Azimu_Diate_11Round,1,0.0,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,0,0,0,0.5,0,1
2016/2017_Azimu_Diate_11Round,1,0.0,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,1,0,1,1.0,0,1
2016/2017_Azimu_Diate_11Round,2,0.25,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,2,0,2,1.0,0,1
2016/2017_Azimu_Diate_11Round,2,0.25,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,3,0,3,1.0,0,0
2016/2017_Azimu_Diate_11Round,3,0.5,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,3,1,2,0.0,0,1
2016/2017_Azimu_Diate_11Round,3,0.5,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,4,1,3,1.0,0,1
2016/2017_Azimu_Diate_11Round,4,0.75,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,5,1,4,1.0,0,0
2016/2017_Azimu_Diate_11Round,5,1.0,0.4584,0.5416000000000001,-0.08320000000000005,-59.0,0.5043,0.5524,-0.04810000000000003,0.4,0.5,-0.09999999999999998,3.6714,3.8954,-1.922,-0.04810000000000003,-0.0963,5,2,3,0.0,1,1
2016/2017_Azimu_Gi Gr_9Round,1,0.0,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,0,0,0,0.5,0,1
2016/2017_Azimu_Gi Gr_9Round,1,0.0,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,1,0,1,1.0,0,1
2016/2017_Azimu_Gi Gr_9Round,2,0.25,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,2,0,2,1.0,0,0
2016/2017_Azimu_Gi Gr_9Round,2,0.25,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,2,1,1,0.0,0,0
2016/2017_Azimu_Gi Gr_9Round,3,0.5,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,2,2,0,0.0,0,1
2016/2017_Azimu_Gi Gr_9Round,3,0.5,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,3,2,1,1.0,0,0
2016/2017_Azimu_Gi Gr_9Round,4,0.75,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,3,3,0,0.0,0,0
2016/2017_Azimu_Gi Gr_9Round,4,0.75,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,3,4,-1,0.0,0,0
2016/2017_Azimu_Gi Gr_9Round,5,1.0,0.5446,0.4554,0.08919999999999995,1.0,0.519,0.5159,0.0030999999999999917,0.4286,0.5,-0.07140000000000002,3.7713,3.6133,-1.565,0.0031999999999999806,0.006400000000000003,3,5,-2,0.0,1,0
2016/2017_Azimu_Kioen_4Round,1,0.0,0.5627,0.4373,0.12539999999999996,13.8,0.4949,0.4951,-0.00019999999999997797,0.4545,0.4545,0.0,3.5442,3.5822,2.49,0.0035000000000000586,-0.0002999999999999999,0,0,0,0.5,0,1
2016/2017_Azimu_Kioen_4Round,1,0.0,0.5627,0.4373,0.12539999999999996,13.8,0.4949,0.4951,-0.00019999999999997797,0.4545,0.4545,0.0,3.5442,3.5822,2.49,0.0035000000000000586,-0.0002999999999999999,1,0,1,1.0,0,0
2016/2017_Azimu_Kioen_4Round,2,0.25,0.5627,0.4373,0.12539999999999996,13.8,0.4949,0.4951,-0.00019999999999997797,0.4545,0.4545,0.0,3.5442,3.5822,2.49,0.0035000000000000586,-0.0002999999999999999,1,1,0,0.0,0,1
2016/2017_Azimu_Kioen_4Round,2,0.25,0.5627,0.4373,0.12539999999999996,13.8,0.4949,0.4951,-0.00019999999999997797,0.4545,0.4545,0.0,3.5442,3.5822,2.49,0.0035000000000000586,-0.0002999999999999999,2,1,1,1.0,0,0
2016/2017_Azimu_Kioen_4Round,3,0.5,0.5627,0.4373,0.12539999999999996,13.8,0.4949,0.4951,-0.00019999999999997797,0.4545,0.4545,0.0,3.5442,3.5822,2.49,0.0035000000000000586,-0.0002999999999999999,2,2,0,0.0,0,1
2016/2017_Azimu_Kioen_4Round,3,0.5,0.5627,0.4373,0.12539999999999996,13.8,0.4949,0.4951,-0.00019999999999997797,0.4545,0.4545,0.0,3.5442,3.5822,2.49,0.0035000000000000586,-0.0002999999999999999,3,2,1,1.0,0,0
2016/2017_Azimu_Lube_13Round,1,0.0,0.4933,0.5066999999999999,-0.013399999999999967,-34.6,0.5199,0.4875,0.03240000000000004,0.4667,0.5385,-0.07179999999999997,3.9161,3.5114,-0.645,0.03249999999999997,0.0649,0,0,0,0.5,0,0
