partido_id,set_num,temporada_inicio,strength_h,strength_a,strength_diff,elo_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,diff_set_ratio,diff_dominancia,set_num_norm,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2016/2017_m00000,1,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00000,2,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,1.0,-1.0,0.0,0.0,1
2016/2017_m00000,3,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1
2016/2017_m00000,4,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.75,2.0,1.0,1.0,1.0,0.0,0
2016/2017_m00000,5,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1
2016/2017_m00001,1,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00001,2,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00001,3,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,2.0,-2.0,0.0,0.0,0
2016/2017_m00002,1,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00002,2,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00002,3,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,2.0,-2.0,0.0,0.0,1
2016/2017_m00002,4,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.75,1.0,2.0,-1.0,1.0,0.0,0
2016/2017_m00003,1,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00003,2,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,1.0,-1.0,0.0,0.0,0
2016/2017_m00003,3,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,2.0,-2.0,0.0,0.0,0
2016/2017_m00004,1,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
2016/2017_m00004,2,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.0,1.0,-1.0,0.0,0.0,1
2016/2017_m00004,3,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1
2016/2017_m00004,4,2016,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.75,2.0,1.0,1.0,1.0,0.0,1
2016/2017_m00005,1,2016,0.48080164876686204,0.5,-0.019198351233137956,-13.34694254676765,0.25,0.5,-0.25,0.43527528164806206,0.5,-0.06472471835193794,0.4858757062146893,0.5,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.5,0.0,1
2016/2017_m00005,2,2016,0.48080164876686204,0.5,-0.019198351233137956,-13.34694254676765,0.25,0.5,-0.25,0.43527528164806206,0.5,-0.06472471835193794,0.4858757062146893,0.5,0.0,-0.25,-0.25,0.25,1.0,0.0,1.0,1.0,0.0,0
2016/2017_m00005,3,2016,0.48080164876686204,0.5,-0.019198351233137956,-13.34694254676765,0.25,0.5,-0.25,0.43527528164806206,0.5,-0.06472471835193794,0.4858757062146893,0.5,0.0,-0.25,-0.25,0.5,1.0,1.0,0.0,0.0,0.0,1
2016/2017_m00005,4,2016,0.48080164876686204,0.5,-0.019198351233137956,-13.34694254676765,0.25,0.5,-0.25,0.43527528164806206,0.5,-0.06472471835193794,0.4858757062146893,0.5,0.0,-0.25,-0.25,0.75,2.0,1.0,1.0,1.0,0.0,0
2016/2017_m00005,5,2016,0.48080164876686204,0.5,-0.019198351233137956,-13.34694254676765,0.25,0.5,-0.25,0.43527528164806206,0.5,-0.06472471835193794,0.4858757062146893,0.5,0.0,-0.25,-0.25,1.0,2.0,2.0,0.0,0.0,1.0,0
2016/2017_m00006,1,2016,0.4693677588655298,0.47289486802029873,-0.003527109154768948,-2.459094450421617,0.0,0.25,-0.25,0.43527528164806206,0.43527528164806206,0.0,0.4094488188976378,0.4673913043478261,0.0,-0.25,-0.25,0.0,0.0,0.0,0.0,0.5,0.0,1
