partido_id,temporada,jornada,fase,championship,equipo_local,equipo_visitante,resultado_final,set_num,puntos_local,puntos_visitante,ganador_set_local,set_largo
2016/2017_Azimu_Diate_11Round,2016/2017,11 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Diatec Trentino,3-2,1,25,15,1,0
2016/2017_Azimu_Diate_11Round,2016/2017,11 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Diatec Trentino,3-2,2,18,25,0,0
2016/2017_Azimu_Diate_11Round,2016/2017,11 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Diatec Trentino,3-2,3,25,20,1,0
2016/2017_Azimu_Diate_11Round,2016/2017,11 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Diatec Trentino,3-2,4,23,25,0,0
2016/2017_Azimu_Diate_11Round,2016/2017,11 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Diatec Trentino,3-2,5,15,8,1,0
2016/2017_Azimu_Gi Gr_9Round,2016/2017,9 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Gi Group Monza,1-3,1,25,22,1,0
2016/2017_Azimu_Gi Gr_9Round,2016/2017,9 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Gi Group Monza,1-3,2,19,25,0,0
2016/2017_Azimu_Gi Gr_9Round,2016/2017,9 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Gi Group Monza,1-3,3,16,25,0,0
2016/2017_Azimu_Gi Gr_9Round,2016/2017,9 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Gi Group Monza,1-3,4,23,25,0,0
2016/2017_Azimu_Kioen_4Round,2016/2017,4 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Kioene Padova,3-0,1,29,27,1,1
2016/2017_Azimu_Kioen_4Round,2016/2017,4 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Kioene Padova,3-0,2,25,22,1,0
2016/2017_Azimu_Kioen_4Round,2016/2017,4 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Kioene Padova,3-0,3,25,23,1,0
2016/2017_Azimu_Lube_13Round,2016/2017,13 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Lube,3-2,1,26,28,0,1
2016/2017_Azimu_Lube_13Round,2016/2017,13 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Lube,3-2,2,25,23,1,0
2016/2017_Azimu_Lube_13Round,2016/2017,13 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Lube,3-2,3,30,28,1,1
2016/2017_Azimu_Lube_13Round,2016/2017,13 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Lube,3-2,4,20,25,0,0
2016/2017_Azimu_Lube_13Round,2016/2017,13 Round,1st half,Regular Season SuperLega UnipolSai,Azimut Modena,Lube,3-2,5,15,13,1,0
2016/2017_Azimu_Milan_2Round,2016/2017,2 Round,2nd half,Regular Season SuperLega UnipolSai,",,",Milano,3-2,1,23,25,0,0
