Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Baldi Andrea,20,44,4.0,2.0,48.0,2.0,11.0,5.0,-19.0,1.0,,1.0,,,,13.0,2.0,3.0,2.0,154.0,,,,,2023/2024,ACICASTELLO
Basic Luka,22,52,121.0,33.0,123.0,5.0,27.0,10.0,-18.0,237.0,23.0,123.0,47.0,198.0,10.0,255.0,13.0,22.0,110.0,431.0,38.0,6.0,12.0,,2023/2024,ACICASTELLO
Bossi Elia,17,48,36.0,9.0,109.0,1.0,11.0,2.0,-9.0,25.0,3.0,10.0,8.0,320.0,20.0,59.0,5.0,4.0,26.0,441.0,36.0,9.0,19.0,,2023/2024,ACICASTELLO
Buchegger Paul,22,83,407.0,134.0,287.0,23.0,87.0,28.0,-22.0,11.0,4.0,6.0,1.0,91.0,-27.0,773.0,69.0,96.0,364.0,471.0,38.0,20.0,24.0,,2023/2024,ACICASTELLO
Cavaccini Domenico,20,75,1.0,,,,,,,392.0,27.0,156.0,114.0,291.0,22.0,1.0,1.0,,,,-100.0,1.0,1.0,,2023/2024,ACICASTELLO
Frumuselu Cristian,11,14,1.0,,3.0,,1.0,,-33.0,,,,,,,1.0,,,1.0,1000.0,100.0,,,,2023/2024,ACICASTELLO
Guarienti Zappoli Enrico,16,31,13.0,6.0,29.0,1.0,9.0,3.0,-28.0,55.0,4.0,25.0,11.0,200.0,13.0,22.0,3.0,5.0,9.0,409.0,27.0,3.0,10.0,,2023/2024,ACICASTELLO
Manavinezhad Mohammadjavad,4,10,21.0,6.0,29.0,1.0,8.0,10.0,-24.0,43.0,2.0,22.0,12.0,279.0,23.0,41.0,2.0,5.0,19.0,463.0,41.0,1.0,10.0,,2023/2024,ACICASTELLO
Massari Jacopo,15,55,148.0,46.0,211.0,16.0,38.0,29.0,-10.0,264.0,23.0,128.0,60.0,227.0,14.0,317.0,19.0,32.0,126.0,397.0,34.0,6.0,11.0,,2023/2024,ACICASTELLO
Masulovic Nemanja,22,79,138.0,39.0,233.0,4.0,19.0,5.0,-6.0,19.0,,10.0,3.0,158.0,16.0,182.0,5.0,12.0,102.0,560.0,53.0,32.0,41.0,,2023/2024,ACICASTELLO
Orduna Santiago,20,72,18.0,4.0,225.0,1.0,24.0,1.0,-10.0,11.0,,10.0,,,,27.0,4.0,,11.0,407.0,26.0,6.0,8.0,,2023/2024,ACICASTELLO
Pierri Francesco,4,10,,,,,,,,34.0,5.0,15.0,7.0,206.0,6.0,,,,,,,,,,2023/2024,ACICASTELLO
Randazzo Luigi,19,70,226.0,64.0,216.0,12.0,48.0,17.0,-17.0,486.0,45.0,266.0,94.0,193.0,10.0,486.0,33.0,51.0,200.0,412.0,34.0,14.0,20.0,,2023/2024,ACICASTELLO
Santambrogio Filippo,8,17,3.0,2.0,42.0,,3.0,,-7.0,,,,,,,6.0,,1.0,2.0,333.0,33.0,1.0,6.0,,2023/2024,ACICASTELLO
Tondo Alessandro,20,65,69.0,29.0,169.0,15.0,41.0,23.0,-15.0,24.0,,14.0,4.0,167.0,17.0,101.0,6.0,6.0,43.0,426.0,37.0,11.0,17.0,,2023/2024,ACICASTELLO
Team Totals,22,83,1206.0,374.0,1724.0,81.0,327.0,98.0,-14.0,1602.0,136.0,786.0,361.0,225.0,14.0,2284.0,162.0,237.0,1015.0,444.0,37.0,110.0,133.0,,2023/2024,ACICASTELLO
