Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Agrusti Marinfranco,4,4,2.0,2.0,5.0,1.0,,25.0,20.0,,,,,,,,,,,,,1.0,25.0,,2018/2019,CAST-MATER
Cavaccini Domenico,26,103,,,,,,,,549.0,57.0,185.0,167.0,304.0,20.0,,,,,,,,,,2018/2019,CAST-MATER
De Togni Giorgio,20,73,84.0,22.0,182.0,3.0,12.0,4.0,-5.0,6.0,1.0,2.0,,,-17.0,117.0,6.0,5.0,59.0,504.0,45.0,22.0,30.0,,2018/2019,CAST-MATER
Falaschi Marco,26,103,46.0,31.0,343.0,16.0,48.0,16.0,-9.0,8.0,3.0,5.0,,,-37.0,17.0,2.0,,8.0,471.0,35.0,22.0,21.0,,2018/2019,CAST-MATER
Kovac Davide,4,4,1.0,,1.0,,1.0,,-100.0,10.0,3.0,3.0,2.0,200.0,-10.0,2.0,,,1.0,500.0,50.0,,,,2018/2019,CAST-MATER
Kruzhkov Yurii,6,8,6.0,1.0,7.0,,3.0,,-43.0,3.0,,,2.0,667.0,67.0,24.0,1.0,5.0,5.0,208.0,17.0,1.0,12.0,,2018/2019,CAST-MATER
Mirzajanpourmouziraji Mojtaba,26,103,356.0,108.0,338.0,23.0,95.0,22.0,-21.0,610.0,81.0,262.0,146.0,239.0,11.0,693.0,62.0,52.0,301.0,434.0,34.0,32.0,31.0,,2018/2019,CAST-MATER
Pace Domenico,11,18,,,,,,,,14.0,4.0,4.0,3.0,214.0,-7.0,,,,,,,,,,2018/2019,CAST-MATER
Quartarone Davide,20,38,1.0,1.0,33.0,1.0,2.0,3.0,-3.0,,,,,,,,,,,,,,,,2018/2019,CAST-MATER
Scopelliti Simone,25,85,70.0,21.0,215.0,3.0,18.0,4.0,-7.0,3.0,1.0,2.0,,,-33.0,109.0,9.0,5.0,48.0,440.0,36.0,19.0,22.0,,2018/2019,CAST-MATER
Studzinski Rodrigues Eduardo Matheus,23,56,57.0,20.0,76.0,8.0,17.0,14.0,-12.0,113.0,19.0,54.0,21.0,186.0,2.0,94.0,12.0,8.0,41.0,436.0,31.0,8.0,14.0,,2018/2019,CAST-MATER
Wlodarczyk Wojciech Julian,26,104,333.0,109.0,365.0,18.0,74.0,17.0,-15.0,673.0,69.0,279.0,172.0,256.0,15.0,584.0,42.0,54.0,281.0,481.0,41.0,34.0,33.0,,2018/2019,CAST-MATER
Zanatta Buiatti Renan,19,77,339.0,111.0,281.0,20.0,89.0,26.0,-25.0,15.0,5.0,6.0,,,-33.0,703.0,74.0,76.0,299.0,425.0,32.0,20.0,26.0,,2018/2019,CAST-MATER
Zingel Aidan,26,104,231.0,79.0,363.0,8.0,19.0,8.0,-3.0,9.0,,8.0,,,,338.0,36.0,25.0,170.0,503.0,40.0,53.0,51.0,,2018/2019,CAST-MATER
Team Totals,26,104,1526.0,505.0,2209.0,101.0,378.0,97.0,-13.0,2013.0,243.0,810.0,513.0,255.0,13.0,2681.0,244.0,230.0,1213.0,452.0,36.0,212.0,204.0,,2018/2019,CAST-MATER
Canuto Bruno,24,81,123.0,43.0,221.0,4.0,28.0,5.0,-11.0,328.0,20.0,114.0,117.0,357.0,30.0,275.0,27.0,31.0,97.0,353.0,25.0,22.0,27.0,,2017/2018,CAST-MATER
Cavaccini Domenico,26,92,,,1.0,,,,,525.0,55.0,154.0,203.0,387.0,28.0,,,,,,,,,,2017/2018,CAST-MATER
Cazzaniga Roberto,21,47,101.0,30.0,108.0,7.0,15.0,15.0,-7.0,1.0,,,1.0,1000.0,100.0,236.0,20.0,22.0,85.0,360.0,28.0,9.0,19.0,,2017/2018,CAST-MATER
De Togni Giorgio,24,86,129.0,39.0,303.0,9.0,16.0,10.0,-2.0,11.0,,4.0,5.0,455.0,45.0,173.0,9.0,7.0,91.0,526.0,47.0,29.0,34.0,,2017/2018,CAST-MATER
Ferraro Mario,12,20,23.0,3.0,44.0,,7.0,,-16.0,2.0,2.0,,,,-100.0,30.0,1.0,1.0,19.0,633.0,60.0,4.0,20.0,,2017/2018,CAST-MATER
Ferreira Costa Athos,24,85,159.0,59.0,276.0,18.0,35.0,21.0,-6.0,14.0,2.0,5.0,5.0,357.0,21.0,183.0,17.0,10.0,101.0,552.0,46.0,40.0,47.0,,2017/2018,CAST-MATER
Garnica Fernando Gabriel,18,38,6.0,4.0,59.0,2.0,13.0,5.0,-19.0,3.0,1.0,2.0,,,-33.0,9.0,1.0,1.0,3.0,333.0,22.0,1.0,3.0,,2017/2018,CAST-MATER
Hebda Milosz,18,43,109.0,30.0,107.0,2.0,30.0,5.0,-26.0,271.0,39.0,134.0,51.0,188.0,4.0,221.0,14.0,19.0,90.0,407.0,34.0,17.0,40.0,,2017/2018,CAST-MATER
Moreira Djalma,26,86,262.0,80.0,272.0,19.0,59.0,22.0,-15.0,543.0,74.0,242.0,126.0,232.0,10.0,529.0,51.0,36.0,236.0,446.0,35.0,7.0,8.0,,2017/2018,CAST-MATER
Pace Domenico,7,8,,,3.0,,,,,,,,,,,,,,,,,,,,2017/2018,CAST-MATER
