Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Baranowicz Michele,21,84,32.0,24.0,301.0,15.0,45.0,18.0,-10.0,7.0,1.0,6.0,,,-14.0,17.0,3.0,1.0,4.0,235.0,6.0,13.0,15.0,,2022/2023,LT
Bayram Efe,22,75,150.0,62.0,235.0,25.0,46.0,33.0,-9.0,311.0,32.0,142.0,67.0,215.0,11.0,273.0,15.0,28.0,116.0,425.0,37.0,9.0,12.0,,2022/2023,LT
Catania Damiano,20,78,,,,,,,,319.0,40.0,141.0,71.0,223.0,10.0,,,,,,,,,,2022/2023,LT
Dirlic Petar,22,85,409.0,110.0,323.0,10.0,45.0,12.0,-11.0,4.0,,1.0,1.0,250.0,25.0,748.0,61.0,40.0,362.0,484.0,40.0,37.0,44.0,,2022/2023,LT
Gutierrez Josè Miguel,18,54,98.0,47.0,116.0,22.0,25.0,41.0,-3.0,150.0,16.0,63.0,28.0,187.0,8.0,152.0,12.0,20.0,68.0,447.0,37.0,8.0,15.0,,2022/2023,LT
Kaliberda Denys Viktorovic,17,56,94.0,29.0,129.0,9.0,21.0,16.0,-9.0,209.0,16.0,114.0,36.0,172.0,10.0,187.0,11.0,14.0,81.0,433.0,37.0,4.0,7.0,,2022/2023,LT
Martinez Javier,4,7,2.0,1.0,9.0,,2.0,,-22.0,,,,,,,2.0,,,2.0,1000.0,100.0,,,,2022/2023,LT
Mattei Andrea,12,28,14.0,3.0,50.0,1.0,10.0,4.0,-18.0,4.0,,1.0,1.0,250.0,25.0,15.0,,,8.0,533.0,53.0,5.0,18.0,,2022/2023,LT
Rossi Andrea,22,82,125.0,33.0,208.0,3.0,25.0,4.0,-11.0,13.0,,8.0,1.0,77.0,8.0,150.0,8.0,8.0,90.0,600.0,55.0,32.0,39.0,,2022/2023,LT
Sedlacek Marko,22,85,295.0,108.0,255.0,17.0,60.0,20.0,-17.0,451.0,47.0,196.0,101.0,224.0,12.0,544.0,40.0,41.0,244.0,449.0,37.0,34.0,40.0,,2022/2023,LT
Staforini Matteo,16,48,3.0,3.0,43.0,3.0,2.0,6.0,2.0,90.0,11.0,47.0,15.0,167.0,4.0,,,,,,,,,,2022/2023,LT
Zanni Michael,5,8,1.0,1.0,13.0,1.0,4.0,12.0,-23.0,,,,,,,,,,,,,,,,2022/2023,LT
Zingel Aidan,22,87,140.0,65.0,272.0,10.0,18.0,11.0,-3.0,20.0,1.0,10.0,4.0,200.0,15.0,136.0,11.0,4.0,77.0,566.0,49.0,53.0,61.0,,2022/2023,LT
Team Totals,22,87,1363.0,486.0,1954.0,116.0,303.0,133.0,-10.0,1578.0,164.0,729.0,325.0,206.0,10.0,2224.0,161.0,156.0,1052.0,473.0,40.0,195.0,224.0,,2022/2023,LT
Baranowicz Michele,24,95,44.0,34.0,369.0,20.0,47.0,21.0,-7.0,13.0,1.0,12.0,,,-8.0,24.0,,,7.0,292.0,29.0,17.0,18.0,,2021/2022,LT
Bossi Elia,23,80,128.0,35.0,262.0,5.0,19.0,6.0,-5.0,25.0,,13.0,7.0,280.0,28.0,164.0,12.0,7.0,95.0,579.0,51.0,28.0,35.0,,2021/2022,LT
Cavaccini Domenico,23,92,,,,,,,,407.0,34.0,179.0,96.0,236.0,15.0,1.0,1.0,,,,-100.0,,,,2021/2022,LT
Dirlic Petar,21,79,323.0,105.0,254.0,20.0,22.0,25.0,-1.0,6.0,2.0,3.0,1.0,167.0,-17.0,548.0,52.0,42.0,264.0,482.0,39.0,39.0,49.0,,2021/2022,LT
Giani Lorenzo,10,17,,,17.0,,3.0,,-18.0,,,,,,,,,,,,,,,,2021/2022,LT
Krick Tobias,1,2,,,,,,,,,,,,,,,,,,,,,,,2021/2022,LT
Lanza Filippo,4,13,39.0,12.0,26.0,,11.0,,-42.0,58.0,6.0,23.0,14.0,241.0,14.0,71.0,3.0,9.0,38.0,535.0,49.0,1.0,8.0,,2021/2022,LT
Maar Stephen,21,83,337.0,133.0,327.0,24.0,55.0,29.0,-9.0,517.0,38.0,227.0,144.0,279.0,21.0,617.0,46.0,32.0,278.0,451.0,38.0,35.0,42.0,,2021/2022,LT
Picchio Matteo,9,19,,,7.0,,,,,24.0,3.0,12.0,6.0,250.0,12.0,,,,,,,,,,2021/2022,LT
Raffaelli Giacomo,23,75,117.0,34.0,108.0,1.0,13.0,1.0,-11.0,268.0,23.0,124.0,63.0,235.0,15.0,235.0,20.0,18.0,101.0,430.0,34.0,15.0,20.0,,2021/2022,LT
Rinaldi Tommaso,24,82,202.0,60.0,241.0,17.0,47.0,21.0,-12.0,421.0,43.0,217.0,78.0,185.0,8.0,409.0,26.0,34.0,172.0,421.0,36.0,13.0,16.0,,2021/2022,LT
Saadat Bardia,13,22,19.0,6.0,19.0,1.0,6.0,5.0,-26.0,,,,,,,42.0,1.0,7.0,18.0,429.0,40.0,,,,2021/2022,LT
Szwarc Arthur,7,24,101.0,23.0,86.0,2.0,25.0,8.0,-27.0,,,,,,,180.0,18.0,16.0,89.0,494.0,39.0,10.0,42.0,,2021/2022,LT
Wiltenburg Twan,16,50,45.0,25.0,126.0,5.0,8.0,10.0,-2.0,4.0,,3.0,,,,50.0,7.0,1.0,24.0,480.0,34.0,16.0,32.0,,2021/2022,LT
Zingel Aidan,24,92,155.0,70.0,289.0,5.0,29.0,5.0,-8.0,24.0,3.0,6.0,8.0,333.0,21.0,178.0,15.0,15.0,91.0,511.0,43.0,59.0,64.0,,2021/2022,LT
Team Totals,24,95,1510.0,537.0,2131.0,100.0,285.0,105.0,-9.0,1767.0,153.0,819.0,417.0,236.0,15.0,2519.0,201.0,181.0,1177.0,467.0,39.0,233.0,245.0,,2021/2022,LT
Cavaccini Domenico,22,80,,,,,,,,451.0,40.0,185.0,116.0,257.0,17.0,,,,,,,,,,2020/2021,LT
Cavuto Oreste,21,69,142.0,43.0,168.0,11.0,46.0,16.0,-21.0,312.0,25.0,164.0,58.0,186.0,11.0,274.0,34.0,21.0,113.0,412.0,29.0,18.0,26.0,,2020/2021,LT
Krick Tobias,22,80,168.0,58.0,200.0,6.0,55.0,7.0,-24.0,24.0,1.0,14.0,4.0,167.0,12.0,218.0,11.0,13.0,128.0,587.0,54.0,34.0,42.0,,2020/2021,LT
Onwuelo Samuel,17,43,29.0,10.0,62.0,5.0,11.0,12.0,-10.0,,,,,,,53.0,9.0,6.0,21.0,396.0,23.0,3.0,7.0,,2020/2021,LT
Randazzo Luigi,21,70,205.0,56.0,213.0,8.0,66.0,11.0,-27.0,457.0,55.0,228.0,88.0,193.0,7.0,448.0,38.0,39.0,188.0,420.0,33.0,9.0,13.0,,2020/2021,LT
Rondoni Andrea,6,8,,,6.0,,,,,3.0,1.0,,1.0,333.0,,,,,,,,,,,2020/2021,LT
Rossato Luca,8,13,1.0,,15.0,,5.0,,-33.0,2.0,1.0,1.0,,,-50.0,6.0,1.0,1.0,1.0,167.0,,,,,2020/2021,LT
Rossi Andrea,12,30,43.0,11.0,80.0,1.0,10.0,3.0,-11.0,8.0,1.0,5.0,2.0,250.0,12.0,49.0,1.0,3.0,33.0,673.0,65.0,9.0,30.0,,2020/2021,LT
