Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Baranowicz Michele,22,78,24.0,19.0,308.0,9.0,41.0,12.0,-10.0,9.0,,9.0,,,,13.0,,,6.0,462.0,46.0,9.0,12.0,,2025/2026,CUNEOSPORT
Bonomi Matteo,18,35,,,51.0,,3.0,,-6.0,1.0,,1.0,,,,,,,,,,,,,2025/2026,CUNEOSPORT
Cattaneo Claudio,18,41,31.0,9.0,45.0,1.0,11.0,2.0,-22.0,102.0,10.0,58.0,18.0,176.0,8.0,72.0,7.0,6.0,28.0,389.0,29.0,2.0,5.0,,2025/2026,CUNEOSPORT
Cavaccini Domenico,22,79,,,,,,,,487.0,46.0,215.0,110.0,226.0,13.0,,,,,,,,,,2025/2026,CUNEOSPORT
Codarin Lorenzo,21,76,141.0,37.0,276.0,10.0,50.0,13.0,-14.0,25.0,4.0,12.0,3.0,120.0,-4.0,175.0,9.0,6.0,106.0,606.0,55.0,25.0,33.0,,2025/2026,CUNEOSPORT
Colasanti Giulio,3,3,,,1.0,,,,,,,,,,,,,,,,,,,,2025/2026,CUNEOSPORT
Copelli Riccardo,10,22,25.0,11.0,45.0,2.0,13.0,9.0,-24.0,6.0,,5.0,1.0,167.0,17.0,38.0,4.0,1.0,17.0,447.0,34.0,6.0,27.0,,2025/2026,CUNEOSPORT
Feral Nathan,22,77,329.0,98.0,262.0,32.0,97.0,42.0,-25.0,12.0,,7.0,,,,572.0,62.0,54.0,284.0,497.0,39.0,13.0,17.0,,2025/2026,CUNEOSPORT
Giraudo Federico,4,7,1.0,,3.0,,1.0,,-33.0,7.0,,5.0,1.0,143.0,14.0,10.0,2.0,2.0,1.0,100.0,-10.0,,,,2025/2026,CUNEOSPORT
Oberto Simone,14,21,1.0,1.0,22.0,1.0,5.0,5.0,-18.0,7.0,1.0,5.0,,,-14.0,,,,,,,,,,2025/2026,CUNEOSPORT
Sala Lorenzo,13,30,21.0,4.0,32.0,,10.0,,-31.0,3.0,,2.0,,,,40.0,1.0,,20.0,500.0,47.0,1.0,3.0,,2025/2026,CUNEOSPORT
Sedlacek Marko,16,53,161.0,50.0,147.0,4.0,42.0,8.0,-26.0,274.0,40.0,134.0,47.0,172.0,3.0,316.0,29.0,25.0,147.0,465.0,37.0,10.0,19.0,,2025/2026,CUNEOSPORT
Stefanovic Aleksandar,20,67,95.0,26.0,164.0,6.0,31.0,9.0,-15.0,19.0,,13.0,1.0,53.0,5.0,127.0,11.0,13.0,70.0,551.0,46.0,19.0,28.0,,2025/2026,CUNEOSPORT
Strehlau Alexandre,8,27,73.0,25.0,78.0,4.0,21.0,15.0,-22.0,103.0,15.0,48.0,24.0,233.0,9.0,127.0,11.0,11.0,60.0,472.0,39.0,9.0,33.0,,2025/2026,CUNEOSPORT
Zaytsev Ivan,21,75,180.0,59.0,243.0,6.0,61.0,8.0,-23.0,385.0,35.0,172.0,90.0,234.0,14.0,398.0,21.0,52.0,154.0,387.0,33.0,20.0,27.0,,2025/2026,CUNEOSPORT
Team Totals,22,79,1082.0,339.0,1677.0,75.0,386.0,95.0,-19.0,1440.0,151.0,686.0,295.0,205.0,10.0,1888.0,157.0,170.0,893.0,473.0,39.0,114.0,144.0,,2025/2026,CUNEOSPORT
