Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Cubito Marco,5,10,7.0,1.0,15.0,,2.0,,-13.0,1.0,,1.0,,,,11.0,1.0,,6.0,545.0,45.0,1.0,10.0,,2025/2026,APG
Falaschi Marco,22,78,13.0,8.0,233.0,2.0,13.0,3.0,-5.0,12.0,4.0,7.0,,,-33.0,9.0,,,4.0,444.0,44.0,7.0,9.0,,2025/2026,APG
Fedrizzi Michele,22,76,126.0,39.0,242.0,15.0,61.0,20.0,-19.0,322.0,44.0,152.0,69.0,214.0,8.0,313.0,21.0,42.0,104.0,332.0,27.0,7.0,9.0,,2025/2026,APG
Golzadeh Amir Mohammad,19,64,257.0,82.0,224.0,28.0,72.0,44.0,-20.0,5.0,1.0,3.0,1.0,200.0,,460.0,44.0,52.0,213.0,463.0,37.0,16.0,25.0,,2025/2026,APG
Koprivica Lazar,11,14,7.0,2.0,11.0,,1.0,,-9.0,38.0,2.0,21.0,3.0,79.0,3.0,21.0,3.0,1.0,7.0,333.0,19.0,,,,2025/2026,APG
Magalini Giulio,22,75,243.0,70.0,252.0,16.0,63.0,21.0,-19.0,449.0,61.0,206.0,94.0,209.0,7.0,439.0,25.0,48.0,209.0,476.0,42.0,18.0,24.0,,2025/2026,APG
Marchiani Manuele,12,16,1.0,1.0,13.0,,1.0,,-8.0,1.0,1.0,,,,-100.0,,,,,,,1.0,6.0,,2025/2026,APG
Marchisio Andrea,21,76,,,,,,,,404.0,53.0,165.0,99.0,245.0,11.0,,,,,,,,,,2025/2026,APG
Pellacani Marco,20,47,64.0,16.0,114.0,2.0,14.0,4.0,-11.0,6.0,,3.0,,,,90.0,4.0,5.0,53.0,589.0,54.0,9.0,19.0,,2025/2026,APG
Petkov Iliya,16,56,76.0,22.0,177.0,8.0,42.0,14.0,-19.0,5.0,1.0,1.0,1.0,200.0,,89.0,6.0,11.0,53.0,596.0,53.0,15.0,27.0,,2025/2026,APG
Petkovic Dusan,3,6,1.0,1.0,2.0,,,,,,,,,,,6.0,,1.0,1.0,167.0,17.0,,,,2025/2026,APG
Stankovic Dragan,17,62,85.0,31.0,165.0,8.0,26.0,13.0,-11.0,12.0,,3.0,7.0,583.0,58.0,96.0,3.0,6.0,62.0,646.0,61.0,15.0,24.0,,2025/2026,APG
Tatarov Georgi,18,59,177.0,43.0,149.0,9.0,53.0,15.0,-30.0,214.0,20.0,110.0,40.0,187.0,9.0,345.0,22.0,33.0,152.0,441.0,38.0,16.0,27.0,,2025/2026,APG
Vecchi Riccardo,12,25,1.0,1.0,25.0,1.0,5.0,4.0,-16.0,9.0,3.0,4.0,1.0,111.0,-22.0,,,,,,,,,,2025/2026,APG
Team Totals,22,79,1058.0,317.0,1622.0,89.0,353.0,113.0,-16.0,1478.0,190.0,676.0,315.0,213.0,8.0,1879.0,129.0,199.0,864.0,460.0,39.0,105.0,133.0,,2025/2026,APG
Antonov Oleg,19,68,119.0,35.0,169.0,12.0,30.0,18.0,-11.0,277.0,35.0,106.0,80.0,289.0,16.0,238.0,14.0,27.0,96.0,403.0,34.0,11.0,16.0,,2024/2025,APG
Bardarov Denislav,3,9,,,,,,,,,,,,,,,,,,,,,,,2024/2025,APG
Comparoni Francesco,19,66,113.0,56.0,210.0,25.0,54.0,38.0,-14.0,16.0,3.0,4.0,2.0,125.0,-6.0,110.0,7.0,8.0,59.0,536.0,47.0,29.0,44.0,,2024/2025,APG
Cubito Marco,1,1,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,1000.0,100.0,,,,2024/2025,APG
Cvanciger Gabrijel,14,38,97.0,18.0,112.0,8.0,21.0,21.0,-12.0,,,,,,,188.0,15.0,19.0,89.0,473.0,39.0,,,,2024/2025,APG
Demyanenko Danny,22,87,213.0,74.0,268.0,21.0,61.0,24.0,-15.0,28.0,1.0,7.0,13.0,464.0,43.0,215.0,7.0,16.0,143.0,665.0,63.0,49.0,56.0,,2024/2025,APG
Fedrizzi Michele,17,68,157.0,60.0,244.0,29.0,58.0,43.0,-12.0,392.0,50.0,158.0,94.0,240.0,11.0,298.0,26.0,43.0,122.0,409.0,32.0,6.0,9.0,,2024/2025,APG
Marchiani Manuele,18,40,1.0,,82.0,,5.0,,-6.0,4.0,,4.0,,,,2.0,,,,,,1.0,2.0,,2024/2025,APG
Marchisio Andrea,22,87,,,,,,,,429.0,36.0,152.0,154.0,359.0,28.0,,,,,,,,,,2024/2025,APG
