Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Balaso Fabio,20,74,,,,,,,,362.0,35.0,160.0,86.0,238.0,14.0,,,,,,,,,,2025/2026,MC
Bisotto Francesco,12,29,,,,,,,,73.0,9.0,42.0,10.0,137.0,1.0,,,,,,,,,,2025/2026,MC
Boninfante Mattia,22,81,49.0,33.0,251.0,16.0,61.0,20.0,-18.0,9.0,,9.0,,,,42.0,4.0,1.0,23.0,548.0,45.0,10.0,12.0,,2025/2026,MC
Bottolo Mattia,22,78,234.0,93.0,304.0,37.0,88.0,47.0,-17.0,442.0,31.0,169.0,141.0,319.0,25.0,349.0,23.0,30.0,179.0,513.0,45.0,18.0,23.0,,2025/2026,MC
D'Heer Wout,17,47,61.0,31.0,134.0,13.0,47.0,28.0,-25.0,21.0,3.0,8.0,5.0,238.0,10.0,61.0,6.0,1.0,32.0,525.0,43.0,16.0,34.0,,2025/2026,MC
Duflos-Rossi Noa,15,31,23.0,3.0,38.0,2.0,12.0,6.0,-26.0,69.0,7.0,26.0,19.0,275.0,17.0,55.0,1.0,6.0,20.0,364.0,35.0,1.0,3.0,,2025/2026,MC
Gargiulo Giovanni Maria,21,82,161.0,59.0,320.0,8.0,30.0,10.0,-7.0,25.0,1.0,9.0,10.0,400.0,36.0,190.0,8.0,11.0,113.0,595.0,55.0,40.0,49.0,,2025/2026,MC
Hossein Khanzadeh Poriya,12,42,71.0,28.0,89.0,9.0,35.0,21.0,-29.0,64.0,5.0,31.0,11.0,172.0,9.0,117.0,7.0,8.0,58.0,496.0,44.0,4.0,10.0,,2025/2026,MC
Kukartsev Pablo,19,44,39.0,14.0,31.0,3.0,7.0,7.0,-13.0,3.0,,1.0,2.0,667.0,67.0,68.0,6.0,7.0,32.0,471.0,38.0,4.0,9.0,,2025/2026,MC
Loeppky Eric,21,75,250.0,79.0,273.0,28.0,64.0,37.0,-13.0,163.0,14.0,70.0,37.0,227.0,14.0,386.0,20.0,24.0,200.0,518.0,47.0,22.0,29.0,,2025/2026,MC
Nikolov Aleksandar,21,80,450.0,172.0,329.0,57.0,94.0,71.0,-11.0,202.0,23.0,78.0,60.0,297.0,18.0,700.0,49.0,69.0,369.0,527.0,46.0,24.0,30.0,,2025/2026,MC
Orduna Santiago,19,46,4.0,3.0,45.0,1.0,,2.0,2.0,1.0,,1.0,,,,3.0,,,1.0,333.0,33.0,2.0,4.0,,2025/2026,MC
Podrascanin Marko,10,25,23.0,13.0,57.0,,10.0,,-18.0,4.0,,1.0,3.0,750.0,75.0,28.0,,1.0,13.0,464.0,46.0,10.0,40.0,,2025/2026,MC
Tenorio Davi,11,30,30.0,12.0,83.0,8.0,25.0,27.0,-20.0,5.0,1.0,1.0,1.0,200.0,,33.0,6.0,3.0,17.0,515.0,33.0,5.0,17.0,,2025/2026,MC
Team Totals,22,85,1395.0,540.0,1954.0,182.0,473.0,214.0,-15.0,1443.0,129.0,606.0,385.0,267.0,18.0,2032.0,130.0,161.0,1057.0,520.0,46.0,156.0,184.0,,2025/2026,MC
Balaso Fabio,21,77,,,,,,,,374.0,24.0,168.0,102.0,273.0,21.0,,,,,,,,,,2024/2025,MC
Bisotto Francesco,8,14,,,,,,,,27.0,3.0,14.0,4.0,148.0,4.0,,,,,,,,,,2024/2025,MC
Boninfante Mattia,22,81,63.0,39.0,252.0,14.0,57.0,17.0,-17.0,8.0,2.0,6.0,,,-25.0,42.0,3.0,4.0,24.0,571.0,50.0,25.0,31.0,,2024/2025,MC
Bottolo Mattia,22,81,253.0,104.0,257.0,24.0,74.0,30.0,-19.0,421.0,20.0,179.0,113.0,268.0,22.0,395.0,28.0,30.0,203.0,514.0,44.0,26.0,32.0,,2024/2025,MC
Chinenyeze Barthelemy,20,70,155.0,47.0,177.0,7.0,46.0,10.0,-22.0,7.0,1.0,2.0,3.0,429.0,29.0,173.0,5.0,9.0,115.0,665.0,64.0,33.0,47.0,,2024/2025,MC
