Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Anzani Simone,14,34,37.0,19.0,95.0,3.0,6.0,9.0,-3.0,9.0,1.0,1.0,4.0,444.0,33.0,45.0,4.0,4.0,18.0,400.0,31.0,16.0,47.0,,2025/2026,MO
Bento Arthur,11,15,18.0,5.0,15.0,1.0,2.0,7.0,-7.0,22.0,2.0,11.0,4.0,182.0,9.0,29.0,2.0,2.0,17.0,586.0,52.0,,,,2025/2026,MO
Buchegger Paul,22,84,316.0,135.0,371.0,62.0,118.0,74.0,-15.0,5.0,2.0,1.0,2.0,400.0,,444.0,37.0,39.0,227.0,511.0,43.0,27.0,32.0,,2025/2026,MO
Davyskiba Vlad,22,85,312.0,100.0,303.0,25.0,61.0,29.0,-12.0,478.0,39.0,231.0,103.0,215.0,13.0,530.0,48.0,45.0,265.0,500.0,41.0,22.0,26.0,,2025/2026,MO
Federici Filippo,4,4,,,,,,,,4.0,,3.0,,,,,,,,,,,,,2025/2026,MO
Giraudo Matias,15,27,1.0,,15.0,,6.0,,-40.0,2.0,,2.0,,,,2.0,,,,,,1.0,4.0,,2025/2026,MO
Ikhbayri Ahmed,15,26,60.0,16.0,40.0,5.0,15.0,19.0,-25.0,1.0,,1.0,,,,91.0,10.0,8.0,52.0,571.0,46.0,3.0,12.0,,2025/2026,MO
Massari Jacopo,14,23,11.0,9.0,20.0,1.0,7.0,4.0,-30.0,31.0,4.0,13.0,11.0,355.0,23.0,19.0,,2.0,9.0,474.0,47.0,1.0,4.0,,2025/2026,MO
Mati Pardo,19,68,119.0,55.0,225.0,21.0,53.0,31.0,-14.0,16.0,1.0,8.0,3.0,187.0,12.0,114.0,8.0,10.0,69.0,605.0,54.0,29.0,43.0,,2025/2026,MO
Perry Luke,22,86,,,,,,,,413.0,30.0,159.0,136.0,329.0,26.0,,,,,,,,,,2025/2026,MO
Porro Luca,22,85,275.0,107.0,333.0,34.0,90.0,40.0,-17.0,441.0,42.0,171.0,123.0,279.0,18.0,464.0,33.0,27.0,228.0,491.0,42.0,13.0,15.0,,2025/2026,MO
Sanguinetti Giovanni,22,82,207.0,82.0,301.0,34.0,90.0,41.0,-19.0,24.0,3.0,15.0,4.0,167.0,4.0,194.0,11.0,5.0,132.0,680.0,62.0,41.0,50.0,,2025/2026,MO
Tauletta Luca,3,4,1.0,,3.0,,2.0,,-67.0,,,,,,,7.0,,1.0,1.0,143.0,14.0,,,,2025/2026,MO
Tizi-Oualou Amir,22,83,75.0,41.0,289.0,16.0,62.0,19.0,-16.0,7.0,1.0,6.0,,,-14.0,74.0,5.0,,44.0,595.0,53.0,15.0,18.0,,2025/2026,MO
Team Totals,22,86,1432.0,569.0,2010.0,202.0,512.0,235.0,-15.0,1453.0,125.0,622.0,390.0,268.0,18.0,2013.0,158.0,143.0,1062.0,528.0,45.0,168.0,195.0,,2025/2026,MO
Anzani Simone,22,79,114.0,42.0,221.0,1.0,12.0,1.0,-5.0,25.0,3.0,7.0,6.0,240.0,12.0,111.0,4.0,7.0,69.0,622.0,59.0,44.0,56.0,,2024/2025,MO
Barbanti Leonardo,1,1,,,,,,,,,,,,,,,,,,,,,,,2024/2025,MO
Buchegger Paul,22,86,358.0,131.0,329.0,47.0,105.0,55.0,-18.0,12.0,2.0,2.0,5.0,417.0,25.0,595.0,58.0,50.0,302.0,508.0,41.0,9.0,10.0,,2024/2025,MO
Davyskiba Vlad,19,67,226.0,77.0,225.0,25.0,63.0,37.0,-17.0,313.0,33.0,140.0,75.0,240.0,13.0,375.0,35.0,27.0,190.0,507.0,41.0,11.0,16.0,,2024/2025,MO
De Cecco Luciano,22,86,32.0,22.0,302.0,8.0,24.0,9.0,-5.0,10.0,,10.0,,,,27.0,3.0,,9.0,333.0,22.0,15.0,17.0,,2024/2025,MO
Federici Filippo,21,83,,,,,,,,423.0,36.0,209.0,100.0,236.0,15.0,,,,,,,,,,2024/2025,MO
Gollini Riccardo,5,11,,,,,,,,22.0,2.0,6.0,7.0,318.0,23.0,,,,,,,,,,2024/2025,MO
Gutierrez Josè Miguel,21,70,183.0,61.0,210.0,12.0,53.0,17.0,-20.0,361.0,24.0,164.0,88.0,244.0,18.0,342.0,15.0,38.0,149.0,436.0,39.0,22.0,31.0,,2024/2025,MO
Ikhbayri Ahmed,16,37,42.0,17.0,27.0,4.0,9.0,11.0,-19.0,1.0,,1.0,,,,50.0,3.0,6.0,29.0,580.0,52.0,9.0,24.0,,2024/2025,MO
Massari Jacopo,20,48,20.0,11.0,49.0,2.0,7.0,4.0,-10.0,64.0,9.0,29.0,12.0,187.0,5.0,43.0,2.0,1.0,15.0,349.0,30.0,3.0,6.0,,2024/2025,MO
Mati Pardo,12,21,32.0,10.0,68.0,5.0,18.0,24.0,-19.0,1.0,,1.0,,,,35.0,2.0,1.0,19.0,543.0,49.0,8.0,38.0,,2024/2025,MO
Meijs Sil,19,42,4.0,4.0,12.0,3.0,3.0,7.0,,,,,,,,,,,,,,1.0,2.0,,2024/2025,MO
Rinaldi Tommaso,18,54,213.0,82.0,189.0,23.0,50.0,43.0,-14.0,310.0,42.0,135.0,75.0,242.0,11.0,352.0,33.0,28.0,179.0,509.0,41.0,11.0,20.0,,2024/2025,MO
Sanguinetti Giovanni,20,72,161.0,48.0,238.0,16.0,75.0,22.0,-25.0,17.0,2.0,8.0,1.0,59.0,-6.0,176.0,11.0,9.0,123.0,699.0,64.0,22.0,31.0,,2024/2025,MO
Stankovic Dragan,10,23,37.0,19.0,54.0,2.0,2.0,9.0,,1.0,,,,,,30.0,,1.0,23.0,767.0,77.0,12.0,52.0,,2024/2025,MO
Uriarte Nicolas,1,3,,,,,,,,,,,,,,,,,,,,,,,2024/2025,MO
Team Totals,22,86,1422.0,524.0,1924.0,148.0,421.0,172.0,-14.0,1560.0,153.0,712.0,369.0,237.0,14.0,2136.0,166.0,168.0,1107.0,518.0,44.0,167.0,194.0,,2024/2025,MO
Boninfante Mattia,20,33,1.0,1.0,37.0,,11.0,,-30.0,1.0,,1.0,,,,,,,,,,1.0,3.0,,2023/2024,MO
Brehme Anton,22,63,92.0,29.0,157.0,13.0,45.0,21.0,-20.0,15.0,1.0,9.0,3.0,200.0,13.0,117.0,4.0,3.0,64.0,547.0,51.0,15.0,24.0,,2023/2024,MO
Davyskiba Vlad,22,78,302.0,102.0,270.0,33.0,68.0,42.0,-13.0,263.0,23.0,133.0,57.0,217.0,13.0,516.0,53.0,57.0,251.0,486.0,38.0,18.0,23.0,,2023/2024,MO
Federici Filippo,10,35,,,,,,,,165.0,13.0,77.0,46.0,279.0,20.0,,,,,,,,,,2023/2024,MO
Gollini Riccardo,16,56,,,,,,,,300.0,22.0,136.0,90.0,300.0,23.0,1.0,,,,,,,,,2023/2024,MO
Juantorena Osmany,20,74,236.0,82.0,253.0,15.0,30.0,20.0,-6.0,300.0,18.0,117.0,80.0,267.0,21.0,434.0,24.0,28.0,213.0,491.0,44.0,8.0,11.0,,2023/2024,MO
Menchetti Federico,1,1,,,,,,,,,,,,,,,,,,,,,,,2023/2024,MO
Mossa De Rezende Bruno,22,83,36.0,22.0,313.0,11.0,28.0,13.0,-5.0,12.0,2.0,10.0,,,-17.0,30.0,1.0,2.0,13.0,433.0,40.0,12.0,14.0,,2023/2024,MO
Pinali Giulio,4,5,6.0,1.0,6.0,,4.0,,-67.0,,,,,,,14.0,1.0,1.0,6.0,429.0,36.0,,,,2023/2024,MO
Pinali Roberto,5,5,,,6.0,,,,,2.0,2.0,,,,-100.0,,,,,,,,,,2023/2024,MO
Rinaldi Tommaso,21,72,203.0,76.0,213.0,19.0,56.0,26.0,-17.0,447.0,47.0,181.0,120.0,268.0,16.0,401.0,35.0,42.0,171.0,426.0,34.0,13.0,18.0,,2023/2024,MO
Sanguinetti Giovanni,22,82,157.0,50.0,244.0,21.0,74.0,26.0,-22.0,21.0,,7.0,8.0,381.0,38.0,182.0,16.0,9.0,116.0,637.0,55.0,20.0,24.0,,2023/2024,MO
Sapozhkov Maksim,21,68,239.0,71.0,198.0,22.0,56.0,32.0,-17.0,5.0,,4.0,,,,374.0,29.0,48.0,196.0,524.0,45.0,21.0,31.0,,2023/2024,MO
Sighinolfi Nicholas,3,3,1.0,1.0,3.0,,,,,,,,,,,,,,,,,1.0,33.0,,2023/2024,MO
Stankovic Dragan,19,58,61.0,24.0,130.0,1.0,6.0,2.0,-4.0,6.0,,3.0,3.0,500.0,50.0,83.0,3.0,6.0,41.0,494.0,46.0,19.0,33.0,,2023/2024,MO
Team Totals,22,85,1334.0,459.0,1830.0,135.0,378.0,159.0,-13.0,1537.0,128.0,678.0,407.0,265.0,18.0,2152.0,166.0,196.0,1071.0,498.0,42.0,128.0,151.0,,2023/2024,MO
Bossi Elia,7,21,24.0,6.0,44.0,,2.0,,-5.0,5.0,,1.0,3.0,600.0,60.0,29.0,2.0,,18.0,621.0,55.0,6.0,29.0,,2022/2023,MO
Gollini Riccardo,7,19,,,,,,,,86.0,9.0,34.0,27.0,314.0,21.0,,,,,,,,,,2022/2023,MO
Krick Tobias,9,29,50.0,12.0,60.0,3.0,18.0,10.0,-25.0,5.0,,,3.0,600.0,60.0,58.0,1.0,1.0,40.0,690.0,67.0,7.0,24.0,,2022/2023,MO
Lagumdzija Adis,22,85,419.0,137.0,335.0,34.0,70.0,40.0,-11.0,7.0,,4.0,2.0,286.0,29.0,727.0,42.0,57.0,357.0,491.0,43.0,28.0,33.0,,2022/2023,MO
Marechal Nicolas,10,30,17.0,4.0,48.0,2.0,11.0,7.0,-19.0,40.0,6.0,21.0,7.0,175.0,2.0,31.0,2.0,3.0,14.0,452.0,39.0,1.0,3.0,,2022/2023,MO
Mossa De Rezende Bruno,22,85,50.0,33.0,315.0,19.0,31.0,22.0,-4.0,12.0,2.0,10.0,,,-17.0,32.0,1.0,3.0,22.0,687.0,66.0,9.0,11.0,,2022/2023,MO
Ngapeth Earvin,21,80,286.0,93.0,306.0,24.0,82.0,30.0,-19.0,374.0,28.0,153.0,98.0,262.0,19.0,551.0,41.0,68.0,247.0,448.0,37.0,15.0,19.0,,2022/2023,MO
