Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
De Barros Ferreira Joao Rafael,26,102,345.0,116.0,356.0,30.0,83.0,29.0,-15.0,747.0,68.0,312.0,210.0,281.0,19.0,604.0,48.0,45.0,291.0,482.0,40.0,24.0,24.0,,2016/2017,BAM
De Pandis Daniele,26,104,,,,,,,,580.0,36.0,213.0,212.0,366.0,30.0,,,,,,,,,,2016/2017,BAM
Del Vecchio Francesco,21,46,18.0,6.0,31.0,,4.0,,-13.0,92.0,11.0,40.0,20.0,217.0,10.0,45.0,2.0,9.0,16.0,356.0,31.0,2.0,4.0,,2016/2017,BAM
Di Martino Gabriele,9,30,45.0,17.0,111.0,8.0,10.0,27.0,-2.0,2.0,,,2.0,1000.0,100.0,54.0,1.0,4.0,31.0,574.0,56.0,6.0,20.0,,2016/2017,BAM
Hendriks Niki,4,7,6.0,1.0,9.0,1.0,5.0,14.0,-44.0,1.0,1.0,,,,-100.0,15.0,2.0,4.0,4.0,267.0,13.0,1.0,14.0,,2016/2017,BAM
Jimenez Ernesto,12,28,48.0,15.0,53.0,,14.0,,-26.0,82.0,10.0,49.0,13.0,159.0,4.0,92.0,10.0,8.0,44.0,478.0,37.0,4.0,14.0,,2016/2017,BAM
Leite Costa Maicon Josè,9,22,32.0,10.0,74.0,2.0,5.0,9.0,-4.0,3.0,1.0,,1.0,333.0,,38.0,3.0,2.0,23.0,605.0,53.0,7.0,32.0,,2016/2017,BAM
Olteanu Bogdan,24,84,201.0,58.0,252.0,19.0,61.0,23.0,-17.0,339.0,47.0,201.0,37.0,109.0,-3.0,396.0,21.0,47.0,168.0,424.0,37.0,14.0,17.0,,2016/2017,BAM
Partenio Pier Paolo,24,51,6.0,5.0,36.0,2.0,4.0,4.0,-6.0,,,,,,,4.0,,1.0,1.0,250.0,25.0,3.0,6.0,,2016/2017,BAM
Polo Alberto,26,99,163.0,80.0,337.0,20.0,43.0,20.0,-7.0,32.0,2.0,12.0,8.0,250.0,19.0,206.0,22.0,12.0,93.0,451.0,34.0,50.0,51.0,,2016/2017,BAM
Pontes Veloso Thiago,24,93,19.0,12.0,295.0,8.0,24.0,9.0,-5.0,9.0,,9.0,,,,12.0,,1.0,4.0,333.0,33.0,7.0,8.0,,2016/2017,BAM
Porcelli Alessandro,6,6,,,,,,,,4.0,1.0,3.0,,,-25.0,1.0,,1.0,,,,,,,2016/2017,BAM
Ropret Gregor,4,9,7.0,2.0,32.0,1.0,6.0,11.0,-16.0,,,,,,,6.0,,,6.0,1000.0,100.0,,,,2016/2017,BAM
Sabbi Giulio,26,100,564.0,187.0,399.0,57.0,123.0,57.0,-17.0,5.0,2.0,2.0,1.0,200.0,-20.0,944.0,117.0,77.0,457.0,484.0,36.0,50.0,50.0,,2016/2017,BAM
Vitelli Marco,23,74,105.0,50.0,230.0,20.0,43.0,27.0,-10.0,8.0,3.0,2.0,1.0,125.0,-25.0,105.0,9.0,5.0,57.0,543.0,46.0,28.0,38.0,,2016/2017,BAM
Team Totals,26,102,1559.0,559.0,2215.0,168.0,425.0,165.0,-12.0,1904.0,182.0,843.0,505.0,265.0,17.0,2522.0,235.0,216.0,1195.0,474.0,38.0,196.0,192.0,,2016/2017,BAM
