Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Bergamasco Francesco,2,2,1.0,,,,,,,3.0,2.0,1.0,,,-67.0,5.0,,2.0,1.0,200.0,20.0,,,,2025/2026,PD
Diez Benjamin,20,80,,,,,,,,362.0,26.0,169.0,80.0,221.0,15.0,,,,,,,,,,2025/2026,PD
Gardini Davide,22,85,284.0,88.0,262.0,13.0,75.0,15.0,-24.0,501.0,55.0,243.0,91.0,182.0,7.0,537.0,44.0,45.0,243.0,453.0,37.0,28.0,33.0,,2025/2026,PD
Held Tim,17,38,75.0,19.0,81.0,7.0,18.0,18.0,-14.0,129.0,11.0,66.0,23.0,178.0,9.0,123.0,10.0,11.0,63.0,512.0,43.0,5.0,13.0,,2025/2026,PD
Masulovic Veljko,22,85,331.0,95.0,260.0,29.0,84.0,34.0,-21.0,17.0,3.0,4.0,5.0,294.0,12.0,546.0,49.0,62.0,273.0,500.0,41.0,29.0,34.0,,2025/2026,PD
Mc Raven DiAeris Taila,1,3,2.0,,5.0,,1.0,,-20.0,3.0,,2.0,1.0,333.0,33.0,7.0,1.0,1.0,1.0,143.0,,1.0,33.0,,2025/2026,PD
Nachev Boris Biserov,7,18,19.0,9.0,64.0,2.0,9.0,11.0,-11.0,6.0,,3.0,2.0,333.0,33.0,24.0,1.0,2.0,13.0,542.0,50.0,4.0,22.0,,2025/2026,PD
Orioli Mattia,22,82,235.0,77.0,286.0,19.0,66.0,23.0,-16.0,453.0,49.0,200.0,96.0,212.0,10.0,427.0,33.0,40.0,188.0,440.0,36.0,28.0,34.0,,2025/2026,PD
Polo Alberto,19,74,123.0,47.0,284.0,11.0,29.0,15.0,-6.0,19.0,1.0,9.0,5.0,263.0,21.0,150.0,6.0,12.0,81.0,540.0,50.0,31.0,42.0,,2025/2026,PD
Stefani Tommaso,20,50,57.0,14.0,50.0,,23.0,,-46.0,1.0,1.0,,,,-100.0,113.0,6.0,18.0,44.0,389.0,34.0,13.0,26.0,,2025/2026,PD
Todorovic Vuk,22,82,22.0,13.0,282.0,8.0,28.0,10.0,-7.0,10.0,1.0,8.0,,,-10.0,16.0,,,4.0,250.0,25.0,10.0,12.0,,2025/2026,PD
Toscani Alessandro,13,25,,,,,,,,63.0,6.0,30.0,13.0,206.0,11.0,,,,,,,,,,2025/2026,PD
Truocchio Andrea,22,84,134.0,41.0,255.0,9.0,45.0,11.0,-14.0,16.0,2.0,6.0,2.0,125.0,,172.0,9.0,6.0,109.0,634.0,58.0,16.0,19.0,,2025/2026,PD
Zoppellari Francesco,20,54,4.0,3.0,64.0,1.0,5.0,2.0,-6.0,1.0,,1.0,,,,5.0,,,,,,3.0,6.0,,2025/2026,PD
Team Totals,22,87,1287.0,406.0,1893.0,99.0,383.0,114.0,-15.0,1584.0,157.0,742.0,318.0,201.0,10.0,2125.0,159.0,199.0,1020.0,480.0,41.0,168.0,193.0,,2025/2026,PD
Crosato Federico,22,87,141.0,51.0,305.0,12.0,35.0,14.0,-8.0,47.0,3.0,21.0,9.0,191.0,13.0,157.0,10.0,9.0,88.0,561.0,50.0,41.0,47.0,,2024/2025,PD
Diez Benjamin,22,91,,,,,,,,427.0,36.0,172.0,101.0,237.0,15.0,,,,,,,,,,2024/2025,PD
Falaschi Marco,22,91,27.0,15.0,318.0,2.0,16.0,2.0,-4.0,14.0,3.0,10.0,,,-21.0,12.0,,1.0,9.0,750.0,75.0,16.0,18.0,,2024/2025,PD
Masulovic Veljko,22,91,318.0,90.0,310.0,25.0,64.0,27.0,-13.0,17.0,4.0,9.0,3.0,176.0,-6.0,581.0,57.0,60.0,268.0,461.0,36.0,25.0,27.0,,2024/2025,PD
Mayo Liberman Shay,7,11,4.0,,9.0,,2.0,,-22.0,9.0,1.0,2.0,5.0,556.0,44.0,10.0,,3.0,4.0,400.0,40.0,,,,2024/2025,PD
Orioli Mattia,21,52,70.0,26.0,83.0,3.0,22.0,6.0,-23.0,150.0,12.0,75.0,31.0,207.0,13.0,114.0,5.0,11.0,58.0,509.0,46.0,9.0,17.0,,2024/2025,PD
