Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Argilagos Bryan,7,16,6.0,6.0,27.0,,6.0,,-22.0,1.0,,1.0,,,,4.0,,,,,,6.0,37.0,,2025/2026,BASTIA
Ben Tara Wassim,22,79,323.0,117.0,278.0,16.0,70.0,20.0,-19.0,7.0,2.0,2.0,1.0,143.0,-14.0,497.0,24.0,51.0,281.0,565.0,52.0,26.0,33.0,,2025/2026,BASTIA
Colaci Massimo,15,60,,,,,,,,273.0,25.0,144.0,47.0,172.0,8.0,,,,,,,,,,2025/2026,BASTIA
Crosato Federico,12,23,29.0,10.0,56.0,2.0,10.0,9.0,-14.0,2.0,,1.0,,,,33.0,3.0,1.0,22.0,667.0,58.0,5.0,22.0,,2025/2026,BASTIA
Cvanciger Gabrijel,8,15,18.0,6.0,27.0,2.0,9.0,13.0,-26.0,,,,,,,26.0,2.0,2.0,15.0,577.0,50.0,1.0,7.0,,2025/2026,BASTIA
Dzavoronok Donovan,19,46,27.0,14.0,68.0,5.0,14.0,11.0,-13.0,64.0,6.0,40.0,6.0,94.0,,47.0,2.0,4.0,18.0,383.0,34.0,4.0,9.0,,2025/2026,BASTIA
Gaggini Marco,8,25,,,,,,,,107.0,4.0,55.0,20.0,187.0,15.0,,,,,,,,,,2025/2026,BASTIA
Giannelli Simone,21,75,81.0,50.0,296.0,22.0,41.0,29.0,-6.0,11.0,,11.0,,,,68.0,1.0,3.0,39.0,574.0,56.0,20.0,27.0,,2025/2026,BASTIA
Ishikawa Yuki,14,39,105.0,39.0,113.0,5.0,24.0,13.0,-17.0,177.0,17.0,103.0,25.0,141.0,5.0,197.0,16.0,18.0,98.0,497.0,42.0,2.0,5.0,,2025/2026,BASTIA
Loser Agustin,18,67,150.0,71.0,225.0,4.0,38.0,6.0,-15.0,15.0,2.0,6.0,4.0,267.0,13.0,160.0,4.0,6.0,105.0,656.0,63.0,41.0,61.0,,2025/2026,BASTIA
Plotnytskyi Oleh,22,74,225.0,118.0,261.0,30.0,57.0,41.0,-10.0,338.0,23.0,149.0,79.0,234.0,17.0,339.0,23.0,28.0,160.0,472.0,40.0,35.0,47.0,,2025/2026,BASTIA
Russo Roberto,16,51,88.0,32.0,146.0,5.0,13.0,10.0,-5.0,8.0,,5.0,1.0,125.0,12.0,101.0,5.0,7.0,61.0,604.0,55.0,22.0,43.0,,2025/2026,BASTIA
Semeniuk Kamil,18,69,196.0,79.0,299.0,22.0,40.0,32.0,-6.0,264.0,29.0,97.0,75.0,284.0,17.0,363.0,28.0,17.0,167.0,460.0,38.0,7.0,10.0,,2025/2026,BASTIA
Solé Sebastian,18,53,97.0,32.0,139.0,6.0,10.0,11.0,-3.0,8.0,1.0,5.0,2.0,250.0,12.0,99.0,5.0,6.0,71.0,717.0,67.0,20.0,38.0,,2025/2026,BASTIA
Team Totals,22,83,1345.0,574.0,1935.0,119.0,332.0,143.0,-11.0,1275.0,109.0,619.0,260.0,204.0,12.0,1934.0,113.0,143.0,1037.0,536.0,48.0,189.0,228.0,,2025/2026,BASTIA
Ben Tara Wassim,21,80,288.0,105.0,277.0,25.0,84.0,31.0,-21.0,10.0,3.0,3.0,2.0,200.0,-10.0,446.0,32.0,43.0,230.0,516.0,44.0,34.0,42.0,,2024/2025,BASTIA
Candellaro Davide,3,3,1.0,,4.0,,1.0,,-25.0,,,,,,,3.0,,1.0,1.0,333.0,33.0,,,,2024/2025,BASTIA
Cianciotta Nicola,13,25,3.0,1.0,31.0,1.0,11.0,4.0,-32.0,16.0,1.0,6.0,5.0,312.0,25.0,6.0,,,2.0,333.0,33.0,,,,2024/2025,BASTIA
Colaci Massimo,22,86,,,,,,,,419.0,20.0,214.0,93.0,222.0,17.0,,,,,,,,,,2024/2025,BASTIA
Giannelli Simone,20,78,101.0,66.0,303.0,24.0,42.0,31.0,-6.0,6.0,,6.0,,,,79.0,2.0,2.0,46.0,582.0,56.0,31.0,40.0,,2024/2025,BASTIA
Herrera Jaime Jesus,15,38,64.0,22.0,83.0,13.0,34.0,34.0,-25.0,,,,,,,96.0,15.0,10.0,49.0,510.0,35.0,2.0,5.0,,2024/2025,BASTIA
Ishikawa Yuki,21,62,214.0,93.0,210.0,18.0,41.0,29.0,-11.0,240.0,20.0,127.0,52.0,217.0,13.0,339.0,23.0,31.0,184.0,543.0,47.0,12.0,19.0,,2024/2025,BASTIA
Loser Agustin,21,83,170.0,71.0,249.0,15.0,44.0,18.0,-12.0,10.0,1.0,4.0,2.0,200.0,10.0,200.0,6.0,13.0,112.0,560.0,53.0,43.0,52.0,,2024/2025,BASTIA
Piccinelli Alessandro,9,15,,,,,,,,5.0,,1.0,2.0,400.0,40.0,,,,,,,,,,2024/2025,BASTIA
Plotnytskyi Oleh,18,65,252.0,120.0,261.0,56.0,50.0,86.0,2.0,339.0,35.0,128.0,94.0,277.0,17.0,357.0,21.0,37.0,177.0,496.0,44.0,19.0,29.0,,2024/2025,BASTIA
Russo Roberto,15,54,99.0,44.0,181.0,12.0,22.0,22.0,-6.0,11.0,1.0,4.0,3.0,273.0,18.0,96.0,2.0,3.0,59.0,615.0,59.0,28.0,52.0,,2024/2025,BASTIA
Semeniuk Kamil,22,80,208.0,89.0,306.0,28.0,48.0,35.0,-7.0,314.0,27.0,111.0,95.0,303.0,22.0,373.0,25.0,29.0,162.0,434.0,37.0,18.0,22.0,,2024/2025,BASTIA
Solé Sebastian,12,43,64.0,30.0,102.0,6.0,18.0,14.0,-12.0,13.0,1.0,7.0,1.0,77.0,,66.0,1.0,3.0,37.0,561.0,55.0,21.0,49.0,,2024/2025,BASTIA
Zoppellari Francesco,6,14,6.0,3.0,32.0,2.0,4.0,14.0,-6.0,2.0,,2.0,,,,2.0,,,1.0,500.0,50.0,3.0,21.0,,2024/2025,BASTIA
