Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Alletti Aimone,26,105,193.0,77.0,388.0,18.0,35.0,17.0,-4.0,13.0,2.0,9.0,,,-15.0,240.0,13.0,8.0,129.0,537.0,48.0,46.0,44.0,,2017/2018,PC
Baranowicz Michele,26,107,82.0,65.0,412.0,31.0,89.0,29.0,-14.0,14.0,4.0,10.0,,,-29.0,67.0,1.0,2.0,30.0,448.0,43.0,21.0,20.0,,2017/2018,PC
Clevenot Trevor,26,106,396.0,141.0,404.0,21.0,56.0,20.0,-9.0,562.0,50.0,263.0,137.0,244.0,15.0,693.0,56.0,55.0,344.0,496.0,42.0,31.0,29.0,,2017/2018,PC
Cottarelli Francesco,26,67,5.0,5.0,106.0,5.0,15.0,7.0,-9.0,1.0,,1.0,,,,1.0,,,,,,,,,2017/2018,PC
Di Martino Gabriele,6,13,10.0,3.0,9.0,,2.0,,-22.0,3.0,,1.0,1.0,333.0,33.0,11.0,1.0,,6.0,545.0,45.0,4.0,31.0,,2017/2018,PC
Fei Alessandro,24,98,408.0,117.0,335.0,24.0,72.0,24.0,-14.0,8.0,1.0,4.0,2.0,250.0,12.0,685.0,69.0,48.0,350.0,511.0,41.0,34.0,35.0,,2017/2018,PC
Giuliani Ludovico,23,82,1.0,1.0,,,,,,62.0,,38.0,12.0,194.0,19.0,1.0,,,1.0,1000.0,100.0,,,,2017/2018,PC
Hershko Tamir Avraham,12,22,31.0,8.0,33.0,2.0,9.0,9.0,-21.0,3.0,1.0,1.0,,,-33.0,62.0,5.0,7.0,27.0,435.0,35.0,2.0,9.0,,2017/2018,PC
Kody Yvan Arthur,23,58,20.0,3.0,21.0,1.0,6.0,2.0,-24.0,,,,,,,44.0,5.0,4.0,17.0,386.0,27.0,2.0,3.0,,2017/2018,PC
Manià Loris,24,92,,,,,,,,632.0,48.0,280.0,148.0,234.0,16.0,,,,,,,,,,2017/2018,PC
Marshall Leonel,17,62,136.0,58.0,88.0,5.0,23.0,8.0,-20.0,242.0,28.0,108.0,55.0,227.0,11.0,230.0,27.0,21.0,105.0,457.0,34.0,26.0,42.0,,2017/2018,PC
Parodi Simone,23,80,219.0,76.0,214.0,9.0,47.0,11.0,-18.0,348.0,31.0,149.0,78.0,224.0,14.0,422.0,46.0,25.0,192.0,455.0,35.0,18.0,22.0,,2017/2018,PC
Yosifov Viktor,25,103,224.0,93.0,379.0,26.0,85.0,25.0,-16.0,27.0,2.0,14.0,7.0,259.0,19.0,214.0,8.0,11.0,129.0,603.0,57.0,69.0,67.0,,2017/2018,PC
Team Totals,26,107,1725.0,647.0,2389.0,142.0,439.0,133.0,-12.0,1915.0,167.0,878.0,440.0,230.0,14.0,2670.0,231.0,181.0,1330.0,498.0,41.0,253.0,236.0,,2017/2018,PC
Alletti Aimone,25,97,159.0,63.0,372.0,17.0,40.0,18.0,-6.0,10.0,1.0,2.0,4.0,400.0,30.0,172.0,11.0,10.0,98.0,570.0,51.0,44.0,45.0,,2016/2017,PC
Clevenot Trevor,26,101,316.0,104.0,354.0,27.0,70.0,27.0,-12.0,609.0,44.0,239.0,224.0,368.0,30.0,505.0,40.0,40.0,267.0,529.0,45.0,22.0,22.0,,2016/2017,PC
Cottarelli Francesco,21,37,,,58.0,,3.0,,-5.0,,,,,,,1.0,,,,,,,,,2016/2017,PC
Di Martino Gabriele,3,8,8.0,1.0,1.0,,,,,1.0,,,1.0,1000.0,100.0,13.0,,2.0,6.0,462.0,46.0,2.0,25.0,,2016/2017,PC
Hernandez Ramos Fernando,26,104,563.0,183.0,433.0,56.0,135.0,54.0,-18.0,2.0,2.0,,,,-100.0,952.0,109.0,96.0,484.0,508.0,39.0,23.0,22.0,,2016/2017,PC
Hierrezuelo Raydel,26,103,141.0,70.0,357.0,14.0,75.0,14.0,-17.0,10.0,2.0,8.0,,,-20.0,147.0,17.0,8.0,83.0,565.0,45.0,44.0,43.0,,2016/2017,PC
Manià Loris,21,77,1.0,1.0,,,,,,453.0,39.0,212.0,147.0,325.0,24.0,1.0,,,1.0,1000.0,100.0,,,,2016/2017,PC
Marshall Leonel,17,60,203.0,63.0,201.0,6.0,65.0,10.0,-29.0,333.0,32.0,125.0,137.0,411.0,32.0,318.0,27.0,44.0,170.0,535.0,45.0,27.0,45.0,,2016/2017,PC
Papi Samuele,19,65,12.0,5.0,24.0,,2.0,,-8.0,227.0,34.0,86.0,83.0,366.0,22.0,28.0,4.0,3.0,9.0,321.0,18.0,3.0,5.0,,2016/2017,PC
Parodi Simone,21,68,58.0,14.0,102.0,,22.0,,-22.0,210.0,19.0,82.0,81.0,386.0,30.0,125.0,17.0,12.0,54.0,432.0,30.0,4.0,6.0,,2016/2017,PC
Tencati Luca,20,67,60.0,31.0,169.0,3.0,6.0,4.0,-2.0,2.0,,,2.0,1000.0,100.0,77.0,2.0,7.0,33.0,429.0,40.0,24.0,36.0,,2016/2017,PC
Tzioumakas Georgios,9,12,4.0,2.0,11.0,,4.0,,-36.0,,,,,,,4.0,,1.0,2.0,500.0,50.0,2.0,17.0,,2016/2017,PC
Yosifov Viktor,24,85,130.0,58.0,213.0,12.0,38.0,14.0,-12.0,3.0,,2.0,1.0,333.0,33.0,122.0,2.0,7.0,72.0,590.0,57.0,46.0,54.0,,2016/2017,PC
Zlatanov Hristo,11,23,36.0,12.0,61.0,7.0,17.0,30.0,-16.0,93.0,18.0,50.0,16.0,172.0,-2.0,74.0,7.0,7.0,24.0,324.0,23.0,5.0,22.0,,2016/2017,PC
Team Totals,26,104,1691.0,607.0,2356.0,142.0,477.0,137.0,-14.0,1953.0,191.0,806.0,696.0,356.0,26.0,2539.0,236.0,237.0,1303.0,513.0,42.0,246.0,237.0,,2016/2017,PC
