Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Andringa Robbert,19,42,10.0,7.0,25.0,1.0,5.0,2.0,-16.0,37.0,5.0,11.0,11.0,297.0,16.0,18.0,1.0,2.0,7.0,389.0,33.0,2.0,5.0,,2025/2026,PIACENZAYOU
Bergmann Lukas Felipe,19,50,64.0,27.0,91.0,9.0,20.0,18.0,-12.0,129.0,11.0,68.0,21.0,163.0,8.0,109.0,10.0,4.0,52.0,477.0,39.0,3.0,6.0,,2025/2026,PIACENZAYOU
Bovolenta Alessandro,21,76,310.0,100.0,247.0,19.0,63.0,25.0,-18.0,13.0,2.0,6.0,1.0,77.0,-8.0,492.0,34.0,45.0,271.0,551.0,48.0,20.0,26.0,,2025/2026,PIACENZAYOU
Comparoni Francesco,20,63,85.0,27.0,153.0,7.0,37.0,11.0,-20.0,21.0,1.0,6.0,5.0,238.0,19.0,96.0,5.0,2.0,61.0,635.0,58.0,17.0,27.0,,2025/2026,PIACENZAYOU
Fraleone Luca,2,6,4.0,1.0,15.0,1.0,3.0,17.0,-13.0,2.0,,,1.0,500.0,50.0,3.0,,,2.0,667.0,67.0,1.0,17.0,,2025/2026,PIACENZAYOU
Galassi Gianluca,13,51,113.0,32.0,141.0,4.0,24.0,8.0,-14.0,9.0,1.0,3.0,,,-11.0,124.0,2.0,3.0,85.0,685.0,67.0,24.0,47.0,,2025/2026,PIACENZAYOU
Gutierrez Josè Miguel,20,76,254.0,102.0,270.0,26.0,74.0,34.0,-18.0,418.0,35.0,183.0,72.0,172.0,9.0,423.0,26.0,38.0,205.0,485.0,42.0,23.0,30.0,,2025/2026,PIACENZAYOU
Iyegbekedo Daniel,6,20,30.0,10.0,34.0,1.0,10.0,5.0,-26.0,6.0,1.0,3.0,1.0,167.0,,31.0,3.0,1.0,19.0,613.0,52.0,10.0,50.0,,2025/2026,PIACENZAYOU
Leon Henri Emmanuel,19,56,64.0,20.0,94.0,7.0,21.0,12.0,-15.0,,,,,,,100.0,7.0,8.0,43.0,430.0,36.0,14.0,25.0,,2025/2026,PIACENZAYOU
Loreti Luca,4,11,,,14.0,,1.0,,-7.0,2.0,,2.0,,,,,,,,,,,,,2025/2026,PIACENZAYOU
Mandiraci Ramazan Efe,21,81,313.0,131.0,337.0,48.0,79.0,59.0,-9.0,391.0,34.0,195.0,71.0,182.0,9.0,497.0,35.0,39.0,250.0,503.0,43.0,15.0,19.0,,2025/2026,PIACENZAYOU
Pace Domenico,22,86,,,,,,,,396.0,29.0,194.0,86.0,217.0,14.0,,,,,,,,,,2025/2026,PIACENZAYOU
Porro Paolo,20,77,56.0,42.0,296.0,27.0,58.0,35.0,-10.0,11.0,2.0,8.0,1.0,91.0,-9.0,32.0,4.0,1.0,15.0,469.0,34.0,14.0,18.0,,2025/2026,PIACENZAYOU
Seddik Joris,16,39,47.0,16.0,68.0,2.0,26.0,5.0,-35.0,12.0,,4.0,4.0,333.0,33.0,51.0,2.0,3.0,32.0,627.0,59.0,13.0,33.0,,2025/2026,PIACENZAYOU
Simon Robertlandy,9,33,86.0,36.0,135.0,17.0,17.0,52.0,,12.0,2.0,2.0,5.0,417.0,25.0,78.0,4.0,2.0,52.0,667.0,62.0,17.0,52.0,,2025/2026,PIACENZAYOU
Travica Dragan,12,26,3.0,2.0,39.0,2.0,2.0,8.0,,1.0,,1.0,,,,1.0,1.0,,,,-100.0,1.0,4.0,,2025/2026,PIACENZAYOU
Team Totals,22,86,1439.0,553.0,1959.0,171.0,440.0,199.0,-14.0,1460.0,123.0,686.0,279.0,191.0,11.0,2055.0,134.0,148.0,1094.0,532.0,47.0,174.0,202.0,,2025/2026,PIACENZAYOU
Andringa Robbert,18,51,7.0,,19.0,,4.0,,-21.0,55.0,5.0,24.0,16.0,291.0,20.0,20.0,2.0,4.0,7.0,350.0,25.0,,,,2024/2025,PIACENZAYOU
Bovolenta Alessandro,21,54,98.0,28.0,107.0,7.0,31.0,13.0,-22.0,10.0,1.0,5.0,2.0,200.0,10.0,185.0,17.0,22.0,83.0,449.0,36.0,8.0,15.0,,2024/2025,PIACENZAYOU
Brizard Antoine,22,85,61.0,38.0,307.0,20.0,74.0,24.0,-18.0,6.0,1.0,5.0,,,-17.0,58.0,4.0,6.0,25.0,431.0,36.0,16.0,19.0,,2024/2025,PIACENZAYOU
Galassi Gianluca,21,82,177.0,71.0,264.0,15.0,70.0,18.0,-21.0,31.0,6.0,14.0,7.0,226.0,3.0,196.0,7.0,9.0,119.0,607.0,57.0,43.0,52.0,,2024/2025,PIACENZAYOU
Gueye Moussé,5,18,33.0,14.0,48.0,1.0,9.0,6.0,-17.0,13.0,1.0,7.0,1.0,77.0,,33.0,1.0,5.0,22.0,667.0,64.0,10.0,56.0,,2024/2025,PIACENZAYOU
Kedzierski Michal,2,4,,,4.0,,,,,,,,,,,,,,,,,,,,2024/2025,PIACENZAYOU
Kovacevic Uros,15,52,141.0,46.0,162.0,6.0,31.0,12.0,-15.0,254.0,22.0,138.0,47.0,185.0,10.0,271.0,18.0,34.0,123.0,454.0,39.0,12.0,23.0,,2024/2025,PIACENZAYOU
Loreti Luca,4,8,,,,,,,,22.0,,7.0,10.0,455.0,45.0,,,,,,,,,,2024/2025,PIACENZAYOU
Maar Stephen,21,79,260.0,81.0,263.0,18.0,46.0,23.0,-11.0,408.0,45.0,189.0,90.0,221.0,11.0,446.0,35.0,29.0,224.0,502.0,42.0,18.0,23.0,,2024/2025,PIACENZAYOU
Mandiraci Ramazan Efe,17,57,171.0,51.0,179.0,15.0,24.0,26.0,-5.0,323.0,38.0,148.0,65.0,201.0,8.0,281.0,18.0,21.0,140.0,498.0,43.0,16.0,28.0,,2024/2025,PIACENZAYOU
Ricci Fabio,2,6,12.0,4.0,21.0,1.0,1.0,17.0,,2.0,1.0,1.0,,,-50.0,11.0,,,8.0,727.0,73.0,3.0,50.0,,2024/2025,PIACENZAYOU
Romanò Yuri,22,79,253.0,78.0,253.0,26.0,71.0,33.0,-18.0,11.0,1.0,6.0,1.0,91.0,,442.0,35.0,45.0,212.0,480.0,40.0,15.0,19.0,,2024/2025,PIACENZAYOU
Scanferla Leonardo,22,82,,,,,,,,397.0,28.0,188.0,91.0,229.0,16.0,,,,,,,,,,2024/2025,PIACENZAYOU
Simon Robertlandy,17,65,155.0,68.0,265.0,31.0,45.0,48.0,-5.0,21.0,2.0,8.0,6.0,286.0,19.0,158.0,10.0,10.0,96.0,608.0,54.0,28.0,43.0,,2024/2025,PIACENZAYOU
Team Totals,22,85,1368.0,479.0,1892.0,140.0,406.0,165.0,-14.0,1553.0,151.0,740.0,336.0,216.0,12.0,2101.0,147.0,185.0,1059.0,504.0,43.0,169.0,199.0,,2024/2025,PIACENZAYOU
Alonso Roamy,7,15,28.0,7.0,36.0,,7.0,,-19.0,3.0,,,3.0,1000.0,100.0,33.0,4.0,1.0,21.0,636.0,52.0,7.0,47.0,,2023/2024,PIACENZAYOU
Andringa Robbert,19,48,11.0,3.0,34.0,2.0,4.0,4.0,-6.0,41.0,3.0,17.0,14.0,341.0,27.0,23.0,1.0,2.0,8.0,348.0,30.0,1.0,2.0,,2023/2024,PIACENZAYOU
Brizard Antoine,22,87,67.0,48.0,294.0,12.0,59.0,14.0,-16.0,3.0,2.0,1.0,,,-67.0,63.0,9.0,3.0,30.0,476.0,33.0,25.0,29.0,,2023/2024,PIACENZAYOU
Caneschi Edoardo,17,60,120.0,51.0,183.0,19.0,44.0,32.0,-14.0,42.0,3.0,10.0,18.0,429.0,36.0,124.0,5.0,5.0,73.0,589.0,55.0,28.0,47.0,,2023/2024,PIACENZAYOU
Dias Bruno,5,8,4.0,3.0,14.0,1.0,5.0,12.0,-29.0,,,,,,,2.0,1.0,,1.0,500.0,,2.0,25.0,,2023/2024,PIACENZAYOU
Gironi Fabrizio,14,48,98.0,33.0,140.0,13.0,30.0,27.0,-12.0,2.0,1.0,,1.0,500.0,,171.0,12.0,19.0,74.0,433.0,36.0,11.0,23.0,,2023/2024,PIACENZAYOU
Hoffer Nicolò,4,9,1.0,1.0,,,,,,24.0,4.0,10.0,7.0,292.0,12.0,,,,,,,1.0,11.0,,2023/2024,PIACENZAYOU
Leal Yoandy,13,48,186.0,55.0,161.0,11.0,32.0,23.0,-13.0,271.0,25.0,149.0,45.0,166.0,7.0,325.0,19.0,25.0,163.0,502.0,44.0,12.0,25.0,,2023/2024,PIACENZAYOU
Recine Francesco,20,66,190.0,68.0,183.0,15.0,34.0,23.0,-10.0,289.0,31.0,118.0,82.0,284.0,18.0,306.0,19.0,17.0,158.0,516.0,45.0,18.0,27.0,,2023/2024,PIACENZAYOU
Ricci Fabio,8,25,27.0,7.0,60.0,,,,,2.0,,1.0,1.0,500.0,50.0,40.0,1.0,1.0,23.0,575.0,55.0,4.0,16.0,,2023/2024,PIACENZAYOU
Romanò Yuri,16,62,214.0,79.0,240.0,29.0,54.0,47.0,-10.0,9.0,1.0,5.0,2.0,222.0,11.0,404.0,38.0,33.0,174.0,431.0,34.0,11.0,18.0,,2023/2024,PIACENZAYOU
Santos De Souza Ricardo Lucarelli,22,84,297.0,108.0,351.0,26.0,46.0,31.0,-6.0,439.0,40.0,195.0,104.0,237.0,15.0,529.0,52.0,36.0,258.0,488.0,39.0,15.0,18.0,,2023/2024,PIACENZAYOU
Scanferla Leonardo,21,83,,,,,,,,397.0,34.0,167.0,108.0,272.0,19.0,,,,,,,,,,2023/2024,PIACENZAYOU
Simon Robertlandy,22,86,221.0,84.0,311.0,29.0,70.0,34.0,-13.0,33.0,3.0,11.0,14.0,424.0,33.0,220.0,13.0,17.0,139.0,632.0,57.0,54.0,63.0,,2023/2024,PIACENZAYOU
Zlatanov Manuel,1,1,,,2.0,,1.0,,-50.0,,,,,,,,,,,,,,,,2023/2024,PIACENZAYOU
Team Totals,22,88,1464.0,547.0,2009.0,157.0,386.0,178.0,-11.0,1555.0,147.0,684.0,399.0,257.0,16.0,2240.0,174.0,159.0,1122.0,501.0,42.0,189.0,215.0,,2023/2024,PIACENZAYOU
Alonso Roamy,12,38,62.0,18.0,75.0,2.0,10.0,5.0,-11.0,10.0,2.0,1.0,5.0,500.0,30.0,80.0,4.0,8.0,52.0,650.0,60.0,8.0,21.0,,2022/2023,PIACENZAYOU
Basic Luka,15,34,82.0,20.0,83.0,2.0,19.0,6.0,-20.0,138.0,13.0,80.0,26.0,188.0,9.0,149.0,7.0,6.0,77.0,517.0,47.0,3.0,9.0,,2022/2023,PIACENZAYOU
Brizard Antoine,22,88,80.0,49.0,300.0,19.0,75.0,22.0,-19.0,10.0,4.0,6.0,,,-40.0,74.0,8.0,3.0,38.0,514.0,41.0,23.0,26.0,,2022/2023,PIACENZAYOU
Caneschi Edoardo,19,65,103.0,42.0,157.0,5.0,42.0,8.0,-24.0,11.0,1.0,5.0,1.0,91.0,,108.0,8.0,4.0,66.0,611.0,54.0,32.0,49.0,,2022/2023,PIACENZAYOU
Cester Enrico,14,30,16.0,7.0,53.0,1.0,9.0,3.0,-15.0,1.0,,,,,,20.0,,1.0,12.0,600.0,60.0,3.0,10.0,,2022/2023,PIACENZAYOU
De Weijer Freek,11,19,1.0,,23.0,,9.0,,-39.0,,,,,,,,,,,,,1.0,5.0,,2022/2023,PIACENZAYOU
Gironi Fabrizio,19,48,33.0,9.0,51.0,5.0,16.0,10.0,-22.0,12.0,3.0,7.0,1.0,83.0,-17.0,50.0,3.0,4.0,24.0,480.0,42.0,4.0,8.0,,2022/2023,PIACENZAYOU
Hoffer Nicolò,3,5,,,,,,,,3.0,,2.0,1.0,333.0,33.0,,,,,,,,,,2022/2023,PIACENZAYOU
Leal Yoandy,16,65,259.0,84.0,227.0,20.0,36.0,31.0,-7.0,389.0,40.0,204.0,68.0,175.0,7.0,440.0,32.0,27.0,220.0,500.0,43.0,19.0,29.0,,2022/2023,PIACENZAYOU
Recine Francesco,20,59,85.0,27.0,159.0,8.0,30.0,14.0,-14.0,247.0,16.0,111.0,70.0,283.0,22.0,167.0,14.0,14.0,62.0,371.0,29.0,15.0,25.0,,2022/2023,PIACENZAYOU
Romanò Yuri,22,85,345.0,119.0,358.0,45.0,87.0,53.0,-12.0,10.0,2.0,6.0,2.0,200.0,,614.0,38.0,61.0,285.0,464.0,40.0,15.0,18.0,,2022/2023,PIACENZAYOU
Santos De Souza Ricardo Lucarelli,15,56,169.0,61.0,228.0,26.0,36.0,46.0,-4.0,280.0,17.0,127.0,76.0,271.0,21.0,260.0,23.0,15.0,137.0,527.0,44.0,6.0,11.0,,2022/2023,PIACENZAYOU
Scanferla Leonardo,22,88,1.0,1.0,,,,,,449.0,25.0,232.0,102.0,227.0,17.0,1.0,,,1.0,1000.0,100.0,,,,2022/2023,PIACENZAYOU
Simon Robertlandy,18,71,210.0,87.0,284.0,31.0,64.0,44.0,-12.0,22.0,3.0,5.0,10.0,455.0,32.0,223.0,15.0,13.0,132.0,592.0,52.0,47.0,66.0,,2022/2023,PIACENZAYOU
Team Totals,22,88,1446.0,524.0,1998.0,164.0,433.0,186.0,-13.0,1582.0,126.0,786.0,362.0,229.0,15.0,2186.0,152.0,156.0,1106.0,506.0,44.0,176.0,200.0,,2022/2023,PIACENZAYOU
Antonov Oleg,23,71,27.0,10.0,132.0,6.0,27.0,8.0,-16.0,140.0,8.0,60.0,37.0,264.0,21.0,76.0,11.0,13.0,20.0,263.0,12.0,1.0,1.0,,2021/2022,PIACENZAYOU
Brizard Antoine,23,88,93.0,59.0,351.0,26.0,79.0,30.0,-15.0,8.0,3.0,4.0,,,-37.0,77.0,4.0,1.0,38.0,494.0,44.0,29.0,33.0,,2021/2022,PIACENZAYOU
Caneschi Edoardo,21,67,116.0,37.0,165.0,6.0,16.0,9.0,-6.0,12.0,1.0,5.0,5.0,417.0,33.0,140.0,8.0,7.0,84.0,600.0,54.0,26.0,39.0,,2021/2022,PIACENZAYOU
Catania Damiano,11,19,,,,,,,,31.0,1.0,14.0,10.0,323.0,29.0,,,,,,,,,,2021/2022,PIACENZAYOU
Cester Enrico,20,63,71.0,27.0,174.0,3.0,24.0,5.0,-12.0,14.0,1.0,6.0,5.0,357.0,29.0,88.0,6.0,10.0,40.0,455.0,39.0,28.0,44.0,,2021/2022,PIACENZAYOU
Holt Maxwell Philip,21,75,149.0,47.0,196.0,4.0,36.0,5.0,-16.0,20.0,2.0,8.0,6.0,300.0,20.0,177.0,4.0,12.0,106.0,599.0,58.0,39.0,52.0,,2021/2022,PIACENZAYOU
Lagumdzija Adis,20,68,324.0,105.0,220.0,17.0,51.0,25.0,-15.0,2.0,,2.0,,,,592.0,53.0,43.0,281.0,475.0,39.0,26.0,38.0,,2021/2022,PIACENZAYOU
Pujol Pierre,7,9,,,15.0,,4.0,,-27.0,1.0,,1.0,,,,3.0,,,,,,,,,2021/2022,PIACENZAYOU
Recine Francesco,22,72,206.0,67.0,224.0,8.0,45.0,11.0,-17.0,403.0,29.0,166.0,125.0,310.0,24.0,363.0,23.0,31.0,175.0,482.0,42.0,23.0,32.0,,2021/2022,PIACENZAYOU
Rossard Thibault,24,86,247.0,71.0,340.0,27.0,59.0,31.0,-9.0,415.0,32.0,153.0,140.0,337.0,26.0,439.0,37.0,43.0,207.0,472.0,39.0,13.0,15.0,,2021/2022,PIACENZAYOU
Russell Aaron,17,42,120.0,32.0,108.0,5.0,19.0,12.0,-13.0,160.0,15.0,80.0,41.0,256.0,16.0,240.0,24.0,18.0,108.0,450.0,35.0,7.0,17.0,,2021/2022,PIACENZAYOU
Scanferla Leonardo,24,89,,,,,,,,475.0,21.0,206.0,143.0,301.0,26.0,,,,,,,,,,2021/2022,PIACENZAYOU
Stern Toncek,21,63,125.0,40.0,128.0,13.0,44.0,21.0,-24.0,3.0,1.0,2.0,,,-33.0,235.0,25.0,27.0,105.0,447.0,34.0,7.0,11.0,,2021/2022,PIACENZAYOU
Tondo Alessandro,5,9,,,1.0,,,,,1.0,,,1.0,1000.0,100.0,,,,,,,,,,2021/2022,PIACENZAYOU
Team Totals,24,91,1478.0,495.0,2054.0,115.0,404.0,126.0,-14.0,1685.0,114.0,707.0,513.0,304.0,24.0,2430.0,195.0,205.0,1164.0,479.0,40.0,199.0,219.0,,2021/2022,PIACENZAYOU
Antonov Oleg,19,55,51.0,22.0,117.0,7.0,15.0,13.0,-7.0,87.0,6.0,47.0,12.0,138.0,7.0,101.0,7.0,13.0,37.0,366.0,30.0,7.0,13.0,,2020/2021,PIACENZAYOU
Baranowicz Michele,15,57,19.0,17.0,177.0,6.0,25.0,11.0,-11.0,8.0,1.0,7.0,,,-12.0,12.0,,,3.0,250.0,25.0,10.0,18.0,,2020/2021,PIACENZAYOU
Botto Iacopo,11,25,24.0,10.0,32.0,1.0,12.0,4.0,-34.0,61.0,2.0,32.0,18.0,295.0,26.0,43.0,4.0,7.0,18.0,419.0,33.0,5.0,20.0,,2020/2021,PIACENZAYOU
Candellaro Davide,18,63,94.0,28.0,207.0,7.0,25.0,11.0,-9.0,17.0,1.0,5.0,5.0,294.0,24.0,114.0,8.0,3.0,64.0,561.0,49.0,23.0,37.0,,2020/2021,PIACENZAYOU
Clevenot Trevor,22,83,258.0,80.0,310.0,18.0,51.0,22.0,-11.0,433.0,35.0,189.0,105.0,242.0,16.0,426.0,29.0,38.0,222.0,521.0,45.0,18.0,22.0,,2020/2021,PIACENZAYOU
Fanuli Fabio,4,6,,,,,,,,9.0,1.0,4.0,3.0,333.0,22.0,,,,,,,,,,2020/2021,PIACENZAYOU
Finger Michal,9,24,48.0,12.0,50.0,1.0,10.0,4.0,-18.0,,,,,,,89.0,8.0,13.0,44.0,494.0,40.0,3.0,12.0,,2020/2021,PIACENZAYOU
Grozer Georg,15,56,243.0,89.0,215.0,23.0,53.0,41.0,-14.0,1.0,,1.0,,,,427.0,40.0,41.0,197.0,461.0,37.0,23.0,41.0,,2020/2021,PIACENZAYOU
Hierrezuelo Raydel,5,19,16.0,13.0,47.0,3.0,11.0,16.0,-17.0,1.0,1.0,,,,-100.0,15.0,4.0,1.0,6.0,400.0,13.0,7.0,37.0,,2020/2021,PIACENZAYOU
Izzo Marco,9,16,4.0,2.0,34.0,1.0,6.0,6.0,-15.0,2.0,1.0,1.0,,,-50.0,1.0,,,1.0,1000.0,100.0,2.0,12.0,,2020/2021,PIACENZAYOU
Mousavi Seyed Mohammad,11,38,87.0,36.0,116.0,9.0,27.0,24.0,-16.0,9.0,,4.0,3.0,333.0,33.0,101.0,6.0,6.0,56.0,554.0,50.0,22.0,58.0,,2020/2021,PIACENZAYOU
Polo Alberto,19,65,121.0,47.0,257.0,13.0,19.0,20.0,-2.0,9.0,,5.0,1.0,111.0,11.0,146.0,5.0,12.0,77.0,527.0,49.0,31.0,48.0,,2020/2021,PIACENZAYOU
Russell Aaron,22,82,357.0,110.0,290.0,20.0,51.0,24.0,-11.0,363.0,42.0,187.0,67.0,185.0,7.0,642.0,59.0,43.0,313.0,488.0,40.0,24.0,29.0,,2020/2021,PIACENZAYOU
Scanferla Leonardo,22,82,,,,,,,,502.0,18.0,222.0,129.0,257.0,22.0,1.0,,,,,,,,,2020/2021,PIACENZAYOU
Shaw James,4,11,2.0,1.0,1.0,,,,,,,,,,,5.0,,1.0,2.0,400.0,40.0,,,,2020/2021,PIACENZAYOU
Tondo Alessandro,11,27,11.0,5.0,31.0,2.0,8.0,7.0,-19.0,2.0,,,1.0,500.0,50.0,16.0,2.0,1.0,7.0,437.0,31.0,2.0,7.0,,2020/2021,PIACENZAYOU
Team Totals,22,83,1335.0,472.0,1884.0,111.0,313.0,134.0,-11.0,1504.0,108.0,704.0,344.0,229.0,16.0,2139.0,172.0,179.0,1047.0,489.0,41.0,177.0,213.0,,2020/2021,PIACENZAYOU
Berger Alexander,19,74,194.0,71.0,240.0,19.0,54.0,26.0,-15.0,448.0,44.0,170.0,124.0,277.0,18.0,341.0,17.0,35.0,157.0,460.0,41.0,18.0,24.0,,2019/2020,PIACENZAYOU
Botto Iacopo,16,37,16.0,3.0,21.0,,8.0,,-38.0,60.0,6.0,28.0,12.0,200.0,10.0,37.0,3.0,6.0,15.0,405.0,32.0,1.0,3.0,,2019/2020,PIACENZAYOU
Cavanna Maximiliano,19,77,27.0,13.0,241.0,4.0,7.0,5.0,-1.0,6.0,2.0,4.0,,,-33.0,31.0,,,14.0,452.0,45.0,9.0,12.0,,2019/2020,PIACENZAYOU
Copelli Riccardo,1,1,,,1.0,,1.0,,-100.0,,,,,,,,,,,,,,,,2019/2020,PIACENZAYOU
Fanuli Fabio,7,14,,,,,,,,61.0,4.0,31.0,16.0,262.0,20.0,,,,,,,,,,2019/2020,PIACENZAYOU
Fei Alessandro,16,53,66.0,12.0,74.0,2.0,14.0,4.0,-16.0,2.0,,1.0,,,,142.0,6.0,15.0,62.0,437.0,39.0,2.0,4.0,,2019/2020,PIACENZAYOU
Kooy Dick,19,77,324.0,98.0,297.0,26.0,62.0,34.0,-12.0,480.0,44.0,221.0,99.0,206.0,11.0,578.0,45.0,51.0,274.0,474.0,40.0,24.0,31.0,,2019/2020,PIACENZAYOU
