Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Baroni Matteo,1,2,,,,,,,,3.0,1.0,1.0,1.0,333.0,,6.0,1.0,,,,-17.0,,,,2021/2022,RAV-ROB
Biernat Mateusz,24,79,25.0,11.0,157.0,2.0,15.0,3.0,-8.0,3.0,,3.0,,,,34.0,3.0,3.0,16.0,471.0,38.0,7.0,9.0,,2021/2022,RAV-ROB
Bovolenta Alessandro,4,10,11.0,4.0,25.0,1.0,7.0,10.0,-24.0,3.0,,1.0,2.0,667.0,67.0,15.0,3.0,,7.0,467.0,27.0,3.0,30.0,,2021/2022,RAV-ROB
Candeli Nicola,16,48,52.0,11.0,135.0,4.0,14.0,8.0,-7.0,12.0,,7.0,3.0,250.0,25.0,78.0,5.0,9.0,41.0,526.0,46.0,7.0,15.0,,2021/2022,RAV-ROB
Comparoni Francesco,21,65,68.0,30.0,125.0,7.0,18.0,11.0,-9.0,12.0,1.0,4.0,4.0,333.0,25.0,80.0,7.0,3.0,39.0,487.0,40.0,22.0,34.0,,2021/2022,RAV-ROB
Dimitrov Dimitar,17,36,28.0,8.0,39.0,3.0,18.0,8.0,-38.0,2.0,,2.0,,,,63.0,9.0,9.0,21.0,333.0,19.0,4.0,11.0,,2021/2022,RAV-ROB
Erati Alex,13,44,51.0,13.0,106.0,1.0,18.0,2.0,-16.0,18.0,1.0,9.0,5.0,278.0,22.0,80.0,4.0,5.0,34.0,425.0,37.0,16.0,36.0,,2021/2022,RAV-ROB
Fusaro Francesco,14,41,36.0,12.0,121.0,4.0,12.0,10.0,-7.0,15.0,,7.0,6.0,400.0,40.0,56.0,5.0,4.0,24.0,429.0,34.0,8.0,20.0,,2021/2022,RAV-ROB
Goi Riccardo,24,87,,,,,,,,386.0,28.0,179.0,102.0,264.0,19.0,,,,,,,,,,2021/2022,RAV-ROB
Klapwijk Niels,23,81,353.0,102.0,267.0,22.0,72.0,27.0,-19.0,13.0,3.0,7.0,1.0,77.0,-15.0,761.0,54.0,81.0,315.0,414.0,34.0,16.0,20.0,,2021/2022,RAV-ROB
Ljaftov Aleksandar,23,61,109.0,34.0,176.0,12.0,32.0,20.0,-11.0,331.0,32.0,162.0,64.0,193.0,10.0,254.0,19.0,43.0,90.0,354.0,28.0,7.0,11.0,,2021/2022,RAV-ROB
Orioli Mattia,21,45,48.0,13.0,91.0,5.0,11.0,11.0,-7.0,107.0,15.0,37.0,26.0,243.0,10.0,107.0,8.0,8.0,42.0,393.0,32.0,1.0,2.0,,2021/2022,RAV-ROB
Peslac Milan,3,5,,,4.0,,3.0,,-75.0,,,,,,,,,,,,,,,,2021/2022,RAV-ROB
Pirazzoli Matteo,9,11,,,,,,,,4.0,2.0,2.0,,,-50.0,,,,,,,,,,2021/2022,RAV-ROB
Queiroz Franca Andrè Luis,17,46,4.0,1.0,94.0,1.0,14.0,2.0,-14.0,1.0,,1.0,,,,12.0,2.0,1.0,2.0,167.0,,1.0,2.0,,2021/2022,RAV-ROB
Ricci Maccarini Lorenzo,3,3,,,3.0,,1.0,,-33.0,,,,,,,,,,,,,,,,2021/2022,RAV-ROB
Ulrich Luca,23,61,129.0,29.0,154.0,7.0,24.0,11.0,-11.0,290.0,31.0,137.0,66.0,228.0,12.0,288.0,26.0,28.0,110.0,382.0,29.0,12.0,20.0,,2021/2022,RAV-ROB
Vukasinovic Marko,21,75,245.0,80.0,231.0,16.0,56.0,21.0,-17.0,518.0,41.0,211.0,163.0,315.0,24.0,518.0,46.0,60.0,210.0,405.0,32.0,19.0,25.0,,2021/2022,RAV-ROB
Team Totals,24,86,1159.0,348.0,1728.0,85.0,315.0,99.0,-13.0,1718.0,155.0,770.0,443.0,258.0,17.0,2352.0,192.0,254.0,951.0,404.0,32.0,123.0,143.0,,2021/2022,RAV-ROB
Arasomwan Martins,13,31,41.0,13.0,88.0,2.0,9.0,6.0,-8.0,7.0,,6.0,,,,51.0,3.0,1.0,29.0,569.0,51.0,10.0,32.0,,2020/2021,RAV-ROB
Batak Aleksa,21,67,15.0,8.0,83.0,1.0,14.0,1.0,-16.0,3.0,,3.0,,,,17.0,2.0,1.0,9.0,529.0,41.0,5.0,7.0,,2020/2021,RAV-ROB
Giuliani Ludovico,10,23,,,,,,,,40.0,2.0,23.0,9.0,225.0,17.0,,,,,,,,,,2020/2021,RAV-ROB
Grozdanov Aleks,17,66,148.0,53.0,192.0,5.0,20.0,8.0,-8.0,10.0,3.0,3.0,3.0,300.0,,178.0,13.0,11.0,102.0,573.0,50.0,41.0,62.0,,2020/2021,RAV-ROB
Koppers Brandon,17,39,37.0,10.0,43.0,2.0,12.0,5.0,-23.0,84.0,5.0,40.0,15.0,179.0,12.0,75.0,5.0,9.0,32.0,427.0,36.0,3.0,8.0,,2020/2021,RAV-ROB
Kovacic Jani,21,81,,,,,,,,417.0,26.0,153.0,154.0,369.0,31.0,,,,,,,,,,2020/2021,RAV-ROB
Loeppky Eric,22,84,284.0,82.0,306.0,16.0,60.0,19.0,-14.0,506.0,46.0,238.0,96.0,190.0,10.0,587.0,36.0,40.0,253.0,431.0,37.0,15.0,18.0,,2020/2021,RAV-ROB
Mengozzi Stefano,21,81,146.0,48.0,199.0,,9.0,,-5.0,19.0,5.0,8.0,1.0,53.0,-21.0,178.0,8.0,7.0,102.0,573.0,53.0,45.0,56.0,,2020/2021,RAV-ROB
Pinali Giulio,21,78,304.0,100.0,275.0,35.0,77.0,45.0,-15.0,15.0,3.0,10.0,1.0,67.0,-13.0,596.0,59.0,62.0,240.0,403.0,30.0,29.0,37.0,,2020/2021,RAV-ROB
Pirazzoli Matteo,3,3,,,,,,,,4.0,,2.0,1.0,250.0,25.0,,,,,,,,,,2020/2021,RAV-ROB
Recine Francesco,19,72,207.0,67.0,258.0,7.0,33.0,10.0,-10.0,425.0,34.0,196.0,109.0,256.0,18.0,435.0,34.0,30.0,179.0,411.0,33.0,21.0,29.0,,2020/2021,RAV-ROB
Redwitz Rafael,20,70,16.0,9.0,221.0,4.0,20.0,6.0,-7.0,6.0,3.0,2.0,1.0,167.0,-33.0,25.0,2.0,,10.0,400.0,32.0,2.0,3.0,,2020/2021,RAV-ROB
Stefani Tommaso,12,28,29.0,9.0,49.0,1.0,16.0,4.0,-31.0,,,,,,,64.0,12.0,9.0,23.0,359.0,17.0,5.0,18.0,,2020/2021,RAV-ROB
Zonca Paolo,20,71,56.0,24.0,135.0,9.0,34.0,13.0,-19.0,117.0,12.0,61.0,27.0,231.0,13.0,86.0,5.0,4.0,41.0,477.0,42.0,6.0,8.0,,2020/2021,RAV-ROB
Team Totals,22,85,1283.0,423.0,1849.0,82.0,304.0,96.0,-12.0,1653.0,139.0,745.0,417.0,252.0,17.0,2292.0,179.0,174.0,1020.0,445.0,37.0,182.0,214.0,,2020/2021,RAV-ROB
Alonso Roamy,9,20,19.0,4.0,51.0,3.0,3.0,15.0,,4.0,1.0,2.0,,,-25.0,28.0,4.0,3.0,14.0,500.0,36.0,2.0,10.0,,2019/2020,RAV-ROB
Batak Aleksa,12,26,2.0,2.0,25.0,1.0,4.0,4.0,-12.0,2.0,1.0,1.0,,,-50.0,1.0,,,,,,1.0,4.0,,2019/2020,RAV-ROB
Bortolozzo Matteo,10,21,10.0,3.0,37.0,,7.0,,-19.0,1.0,,,,,,17.0,3.0,1.0,7.0,412.0,24.0,3.0,14.0,,2019/2020,RAV-ROB
Cavuto Oreste,13,30,50.0,15.0,65.0,3.0,15.0,10.0,-18.0,119.0,13.0,63.0,30.0,252.0,14.0,100.0,6.0,10.0,41.0,410.0,35.0,6.0,20.0,,2019/2020,RAV-ROB
Cortesia Lorenzo,21,75,132.0,48.0,226.0,8.0,40.0,11.0,-14.0,11.0,,4.0,4.0,364.0,36.0,154.0,13.0,5.0,82.0,532.0,45.0,42.0,56.0,,2019/2020,RAV-ROB
Grozdanov Aleks,21,74,129.0,37.0,199.0,3.0,23.0,4.0,-10.0,16.0,,10.0,5.0,312.0,31.0,148.0,11.0,12.0,83.0,561.0,49.0,43.0,58.0,,2019/2020,RAV-ROB
Kovacic Jani,21,80,,,,,,,,398.0,34.0,148.0,133.0,334.0,25.0,,,,,,,,,,2019/2020,RAV-ROB
Lavia Daniele,20,74,258.0,79.0,240.0,13.0,32.0,18.0,-8.0,483.0,39.0,196.0,175.0,362.0,28.0,497.0,29.0,26.0,223.0,449.0,39.0,22.0,30.0,,2019/2020,RAV-ROB
Marchini Stefano,2,3,,,,,,,,2.0,,1.0,1.0,500.0,50.0,,,,,,,,,,2019/2020,RAV-ROB
Recine Francesco,16,36,31.0,12.0,68.0,4.0,21.0,11.0,-25.0,67.0,7.0,29.0,17.0,254.0,15.0,53.0,3.0,4.0,24.0,453.0,40.0,3.0,8.0,,2019/2020,RAV-ROB
Saitta Davide,21,78,40.0,22.0,263.0,6.0,14.0,8.0,-3.0,9.0,4.0,5.0,,,-44.0,36.0,2.0,,16.0,444.0,39.0,18.0,23.0,,2019/2020,RAV-ROB
Stefani Tommaso,15,28,10.0,4.0,23.0,2.0,8.0,7.0,-26.0,,,,,,,14.0,3.0,1.0,6.0,429.0,21.0,2.0,7.0,,2019/2020,RAV-ROB
Ter Horst Thijs,20,71,279.0,105.0,253.0,26.0,76.0,37.0,-20.0,403.0,43.0,204.0,83.0,206.0,10.0,470.0,44.0,50.0,231.0,491.0,40.0,22.0,31.0,,2019/2020,RAV-ROB
Vernon-Evans Sharone,21,79,309.0,96.0,291.0,29.0,68.0,37.0,-13.0,7.0,1.0,4.0,,,-14.0,543.0,35.0,72.0,261.0,481.0,42.0,19.0,24.0,,2019/2020,RAV-ROB
Team Totals,21,80,1269.0,427.0,1741.0,98.0,311.0,122.0,-12.0,1522.0,143.0,667.0,448.0,294.0,20.0,2061.0,153.0,184.0,988.0,479.0,41.0,183.0,229.0,,2019/2020,RAV-ROB
Argenta Andrea,21,59,46.0,14.0,54.0,3.0,10.0,5.0,-13.0,2.0,,1.0,,,,107.0,12.0,10.0,41.0,383.0,27.0,2.0,3.0,,2018/2019,RAV-ROB
Baroni Matteo,1,1,,,,,,,,,,,,,,,,,,,,,,,2018/2019,RAV-ROB
Di Tommaso Simone,19,27,2.0,1.0,15.0,1.0,1.0,4.0,,1.0,,,1.0,1000.0,100.0,1.0,,,1.0,1000.0,100.0,,,,2018/2019,RAV-ROB
Elia Alberto,10,17,21.0,6.0,35.0,1.0,4.0,6.0,-9.0,1.0,,1.0,,,,22.0,,1.0,14.0,636.0,64.0,6.0,35.0,,2018/2019,RAV-ROB
Frascio Samuel,3,3,,,,,,,,,,,,,,,,,,,,,,,2018/2019,RAV-ROB
Goi Riccardo,26,98,,,,,,,,469.0,50.0,201.0,111.0,237.0,13.0,,,,,,,,,,2018/2019,RAV-ROB
Lavia Daniele,20,57,78.0,24.0,130.0,3.0,29.0,5.0,-20.0,203.0,28.0,100.0,22.0,108.0,-3.0,160.0,12.0,13.0,65.0,406.0,33.0,10.0,18.0,,2018/2019,RAV-ROB
Marchini Stefano,6,9,,,1.0,,,,,9.0,4.0,3.0,1.0,111.0,-33.0,,,,,,,,,,2018/2019,RAV-ROB
Poglajen Cristian Gabriel,26,98,255.0,96.0,403.0,35.0,86.0,36.0,-13.0,546.0,44.0,254.0,110.0,201.0,12.0,500.0,43.0,40.0,200.0,400.0,31.0,20.0,20.0,,2018/2019,RAV-ROB
Raffaelli Giacomo,26,79,189.0,71.0,205.0,13.0,40.0,16.0,-13.0,474.0,42.0,230.0,95.0,200.0,11.0,384.0,32.0,37.0,156.0,406.0,32.0,20.0,25.0,,2018/2019,RAV-ROB
Russo Roberto,25,93,183.0,71.0,323.0,22.0,36.0,24.0,-4.0,17.0,5.0,7.0,2.0,118.0,-18.0,195.0,15.0,11.0,110.0,564.0,49.0,51.0,55.0,,2018/2019,RAV-ROB
Rychlicki Kamil,25,95,494.0,156.0,345.0,31.0,76.0,33.0,-13.0,62.0,7.0,33.0,8.0,129.0,2.0,885.0,62.0,86.0,446.0,504.0,43.0,17.0,18.0,,2018/2019,RAV-ROB
Saitta Davide,26,98,52.0,33.0,303.0,10.0,14.0,10.0,-1.0,9.0,3.0,4.0,1.0,111.0,-22.0,43.0,4.0,4.0,20.0,465.0,37.0,22.0,22.0,,2018/2019,RAV-ROB
Smidl Matej,6,10,2.0,1.0,5.0,,5.0,,-100.0,,,,,,,5.0,,2.0,1.0,200.0,20.0,1.0,10.0,,2018/2019,RAV-ROB
Verhees Pieter,25,94,166.0,69.0,328.0,12.0,65.0,13.0,-16.0,13.0,2.0,8.0,2.0,154.0,,195.0,7.0,17.0,102.0,523.0,49.0,52.0,55.0,,2018/2019,RAV-ROB
Team Totals,26,98,1488.0,542.0,2147.0,131.0,366.0,134.0,-11.0,1806.0,185.0,842.0,353.0,195.0,9.0,2497.0,187.0,221.0,1156.0,463.0,39.0,201.0,205.0,,2018/2019,RAV-ROB
Buchegger Paul,26,94,458.0,171.0,339.0,49.0,115.0,52.0,-19.0,3.0,,1.0,1.0,333.0,33.0,827.0,89.0,70.0,382.0,462.0,35.0,27.0,29.0,,2017/2018,RAV-ROB
Diamantini Enrico,26,93,155.0,53.0,365.0,20.0,34.0,22.0,-4.0,11.0,,5.0,3.0,273.0,27.0,189.0,12.0,9.0,102.0,540.0,48.0,33.0,35.0,,2017/2018,RAV-ROB
