Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Bartman Zbigniew,5,19,60.0,17.0,40.0,3.0,14.0,16.0,-27.0,,,,,,,128.0,6.0,16.0,53.0,414.0,37.0,4.0,21.0,,2022/2023,SIENA-EMMAS
Biglino Omar,18,40,28.0,8.0,73.0,1.0,9.0,2.0,-11.0,5.0,1.0,2.0,,,-20.0,51.0,2.0,3.0,23.0,451.0,41.0,4.0,10.0,,2022/2023,SIENA-EMMAS
Bonami Federico,22,80,,,,,,,,476.0,35.0,200.0,129.0,271.0,20.0,,,,,,,,,,2022/2023,SIENA-EMMAS
Finoli Juan Ignacio,22,80,19.0,15.0,260.0,10.0,41.0,12.0,-12.0,9.0,1.0,8.0,,,-11.0,11.0,2.0,,4.0,364.0,18.0,5.0,6.0,,2022/2023,SIENA-EMMAS
Mazzone Daniele,21,75,131.0,46.0,242.0,8.0,36.0,11.0,-12.0,31.0,3.0,6.0,14.0,452.0,35.0,173.0,8.0,8.0,81.0,468.0,42.0,42.0,56.0,,2022/2023,SIENA-EMMAS
Ngapeth Swan,5,8,5.0,,12.0,,5.0,,-42.0,19.0,1.0,10.0,4.0,211.0,16.0,10.0,2.0,,5.0,500.0,30.0,,,,2022/2023,SIENA-EMMAS
Pereyra Federico,21,60,83.0,16.0,71.0,4.0,22.0,7.0,-25.0,3.0,2.0,,1.0,333.0,-33.0,170.0,16.0,30.0,75.0,441.0,35.0,4.0,7.0,,2022/2023,SIENA-EMMAS
Petric Nemanja,22,80,237.0,68.0,294.0,13.0,27.0,16.0,-5.0,459.0,24.0,252.0,85.0,185.0,13.0,519.0,28.0,53.0,211.0,407.0,35.0,13.0,16.0,,2022/2023,SIENA-EMMAS
Pinali Giulio,16,56,221.0,67.0,188.0,13.0,56.0,23.0,-23.0,8.0,2.0,3.0,1.0,125.0,-12.0,474.0,42.0,58.0,195.0,411.0,32.0,13.0,23.0,,2022/2023,SIENA-EMMAS
Pinelli Riccardo,17,32,,,8.0,,1.0,,-12.0,,,,,,,1.0,,,,,,,,,2022/2023,SIENA-EMMAS
Pochini Filippo,16,27,,,,,,,,22.0,3.0,11.0,4.0,182.0,5.0,,,,,,,,,,2022/2023,SIENA-EMMAS
Raffaelli Giacomo,21,56,75.0,30.0,87.0,1.0,20.0,2.0,-22.0,183.0,13.0,79.0,43.0,235.0,16.0,161.0,15.0,16.0,62.0,385.0,29.0,12.0,21.0,,2022/2023,SIENA-EMMAS
