Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Alfieri Manuel,17,46,2.0,2.0,90.0,2.0,11.0,4.0,-10.0,2.0,,2.0,,,,1.0,1.0,,,,-100.0,,,,2019/2020,FR-SORA
Battaglia Roberto,2,3,3.0,2.0,1.0,,1.0,,-100.0,,,,,,,6.0,1.0,1.0,3.0,500.0,33.0,,,,2019/2020,FR-SORA
Caneschi Edoardo,20,68,107.0,32.0,152.0,2.0,17.0,3.0,-10.0,11.0,1.0,8.0,2.0,182.0,9.0,128.0,16.0,4.0,68.0,531.0,41.0,37.0,54.0,,2019/2020,FR-SORA
De Barros Ferreira Joao Rafael,19,68,258.0,79.0,233.0,16.0,32.0,24.0,-7.0,469.0,51.0,189.0,125.0,267.0,16.0,511.0,44.0,49.0,233.0,456.0,37.0,9.0,13.0,,2019/2020,FR-SORA
Di Martino Gabriele,20,69,84.0,28.0,201.0,4.0,20.0,6.0,-8.0,9.0,,5.0,3.0,333.0,33.0,122.0,2.0,11.0,51.0,418.0,40.0,29.0,42.0,,2019/2020,FR-SORA
Fey Kupono,20,60,45.0,24.0,95.0,5.0,15.0,8.0,-11.0,194.0,17.0,70.0,63.0,325.0,24.0,84.0,3.0,5.0,32.0,381.0,35.0,8.0,13.0,,2019/2020,FR-SORA
Grozdanov Branimir,20,58,131.0,38.0,136.0,4.0,35.0,7.0,-23.0,286.0,34.0,153.0,37.0,129.0,1.0,289.0,21.0,28.0,118.0,408.0,34.0,9.0,16.0,,2019/2020,FR-SORA
Mauti Pierpaolo,13,35,,,,,,,,,,,,,,,,,,,,,,,2019/2020,FR-SORA
Miskevich Radzivon,19,58,186.0,43.0,166.0,9.0,59.0,16.0,-30.0,2.0,,1.0,,,,430.0,45.0,40.0,169.0,393.0,29.0,8.0,14.0,,2019/2020,FR-SORA
Radke Murilo,20,68,49.0,26.0,207.0,10.0,54.0,15.0,-21.0,6.0,2.0,4.0,,,-33.0,56.0,3.0,5.0,28.0,500.0,45.0,11.0,16.0,,2019/2020,FR-SORA
Scopelliti Simone,16,28,9.0,3.0,50.0,,7.0,,-14.0,3.0,,2.0,,,,14.0,2.0,,6.0,429.0,29.0,3.0,11.0,,2019/2020,FR-SORA
Sorgente Alessandro,20,71,,,,,,,,371.0,34.0,156.0,99.0,267.0,18.0,,,,,,,,,,2019/2020,FR-SORA
Van Tilburg Stijn,14,35,84.0,20.0,101.0,5.0,10.0,14.0,-5.0,36.0,6.0,15.0,7.0,194.0,3.0,184.0,20.0,14.0,72.0,391.0,28.0,7.0,20.0,,2019/2020,FR-SORA
Team Totals,20,71,958.0,297.0,1432.0,57.0,261.0,80.0,-14.0,1389.0,145.0,605.0,336.0,242.0,14.0,1825.0,158.0,157.0,780.0,427.0,34.0,121.0,170.0,,2019/2020,FR-SORA
Bermudez Willian Alejandro,12,21,5.0,3.0,3.0,,,,,,,,,,,6.0,1.0,1.0,4.0,667.0,50.0,1.0,5.0,,2018/2019,FR-SORA
Bonami Federico,26,98,,,,,,,,460.0,35.0,201.0,143.0,311.0,23.0,,,,,,,,,,2018/2019,FR-SORA
