Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Alletti Aimone,19,42,21.0,8.0,72.0,1.0,7.0,2.0,-8.0,,,,,,,16.0,1.0,,10.0,625.0,56.0,10.0,24.0,,2024/2025,TA
Alonso Roamy,22,85,148.0,46.0,233.0,6.0,48.0,7.0,-18.0,29.0,4.0,12.0,6.0,207.0,7.0,163.0,8.0,12.0,96.0,589.0,54.0,46.0,54.0,,2024/2025,TA
Balestra Cosimo,2,2,,,,,,,,,,,,,,,,,,,,,,,2024/2025,TA
D'Heer Wout,21,84,156.0,65.0,289.0,20.0,70.0,24.0,-17.0,23.0,1.0,8.0,7.0,304.0,26.0,136.0,7.0,8.0,81.0,596.0,54.0,55.0,65.0,,2024/2025,TA
Fevereiro Diogo,3,3,1.0,1.0,1.0,,1.0,,-100.0,,,,,,,,,,,,,1.0,33.0,,2024/2025,TA
Gironi Fabrizio,20,78,281.0,78.0,240.0,12.0,61.0,15.0,-20.0,15.0,4.0,9.0,1.0,67.0,-20.0,525.0,40.0,53.0,245.0,467.0,39.0,24.0,31.0,,2024/2025,TA
Held Tim,22,81,214.0,74.0,246.0,20.0,45.0,25.0,-10.0,394.0,39.0,232.0,52.0,132.0,3.0,363.0,16.0,32.0,180.0,496.0,45.0,14.0,17.0,,2024/2025,TA
Hofer Brodie,21,75,198.0,59.0,229.0,19.0,42.0,25.0,-10.0,343.0,39.0,202.0,44.0,128.0,1.0,390.0,38.0,29.0,170.0,436.0,34.0,9.0,12.0,,2024/2025,TA
Hopt Jannis Tom,5,14,9.0,2.0,12.0,1.0,5.0,7.0,-33.0,1.0,,,,,,14.0,2.0,1.0,8.0,571.0,43.0,,,,2024/2025,TA
Lanza Filippo,21,76,251.0,81.0,232.0,24.0,73.0,32.0,-21.0,369.0,40.0,181.0,75.0,203.0,9.0,472.0,38.0,49.0,215.0,456.0,37.0,12.0,16.0,,2024/2025,TA
Luzzi Davide,17,57,,,,,,,,109.0,11.0,57.0,22.0,202.0,10.0,,,,,,,,,,2024/2025,TA
Paglialunga Luca,8,11,1.0,,,,,,,15.0,2.0,7.0,4.0,267.0,13.0,1.0,,,1.0,1000.0,100.0,,,,2024/2025,TA
Rizzo Marco,19,73,,,,,,,,359.0,35.0,189.0,68.0,189.0,9.0,,,,,,,,,,2024/2025,TA
Santangelo Andrea,8,16,28.0,3.0,35.0,,8.0,,-23.0,1.0,,1.0,,,,68.0,8.0,7.0,28.0,412.0,29.0,,,,2024/2025,TA
Zimmermann Jan,22,88,33.0,23.0,320.0,10.0,23.0,11.0,-4.0,10.0,1.0,9.0,,,-10.0,24.0,1.0,3.0,10.0,417.0,37.0,13.0,15.0,,2024/2025,TA
Team Totals,22,88,1341.0,440.0,1909.0,113.0,383.0,128.0,-14.0,1668.0,176.0,907.0,279.0,167.0,6.0,2172.0,159.0,194.0,1044.0,481.0,41.0,184.0,209.0,,2024/2025,TA
Alletti Aimone,13,31,27.0,5.0,88.0,2.0,9.0,6.0,-8.0,4.0,,1.0,2.0,500.0,50.0,39.0,4.0,4.0,22.0,564.0,46.0,3.0,10.0,,2023/2024,TA
Bonacchi Federico,17,41,1.0,1.0,22.0,1.0,7.0,2.0,-27.0,,,,,,,,,,,,,,,,2023/2024,TA
Ekstrand Hampus,5,7,6.0,1.0,9.0,,3.0,,-33.0,21.0,6.0,7.0,5.0,238.0,-5.0,14.0,2.0,1.0,4.0,286.0,14.0,2.0,29.0,,2023/2024,TA
Gargiulo Giovanni Maria,21,77,167.0,47.0,259.0,8.0,25.0,10.0,-7.0,13.0,1.0,7.0,3.0,231.0,15.0,187.0,14.0,16.0,123.0,658.0,58.0,36.0,47.0,,2023/2024,TA
Gutierrez Josè Miguel,22,92,329.0,106.0,305.0,25.0,84.0,27.0,-19.0,667.0,49.0,251.0,209.0,313.0,24.0,562.0,44.0,51.0,282.0,502.0,42.0,22.0,24.0,,2023/2024,TA
Jendryk Jeffrey,22,93,173.0,55.0,303.0,9.0,37.0,10.0,-9.0,30.0,1.0,13.0,7.0,233.0,20.0,232.0,8.0,13.0,127.0,547.0,51.0,38.0,41.0,,2023/2024,TA
Lanza Filippo,21,88,269.0,76.0,274.0,16.0,76.0,18.0,-22.0,511.0,53.0,228.0,129.0,252.0,15.0,550.0,54.0,48.0,231.0,420.0,32.0,22.0,25.0,,2023/2024,TA
Luzzi Davide,4,7,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2023/2024,TA
Paglialunga Luca,2,3,,,,,,,,1.0,,,1.0,1000.0,100.0,,,,,,,,,,2023/2024,TA
Raffaelli Giacomo,15,29,37.0,12.0,34.0,1.0,5.0,3.0,-12.0,89.0,9.0,40.0,21.0,236.0,13.0,70.0,7.0,7.0,32.0,457.0,36.0,4.0,14.0,,2023/2024,TA
Rizzo Marco,22,94,,,,,,,,405.0,26.0,168.0,134.0,331.0,27.0,,,,,,,,,,2023/2024,TA
