Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Acquarone Alessandro,17,26,,,12.0,,1.0,,-8.0,1.0,1.0,,,,-100.0,,,,,,,,,,2025/2026,TN-ITAS
Bartha Bela,17,60,130.0,53.0,183.0,10.0,50.0,17.0,-22.0,17.0,2.0,10.0,2.0,118.0,,138.0,8.0,6.0,90.0,652.0,59.0,30.0,50.0,,2025/2026,TN-ITAS
Bristot Alessandro,12,20,42.0,18.0,41.0,6.0,14.0,30.0,-20.0,46.0,8.0,28.0,5.0,109.0,-7.0,56.0,3.0,5.0,32.0,571.0,52.0,4.0,20.0,,2025/2026,TN-ITAS
Faure Theo,22,75,308.0,101.0,284.0,20.0,66.0,27.0,-16.0,14.0,1.0,6.0,3.0,214.0,14.0,463.0,29.0,37.0,263.0,568.0,51.0,25.0,33.0,,2025/2026,TN-ITAS
Garcia Fernandez Gabi,19,43,51.0,19.0,61.0,6.0,19.0,14.0,-21.0,1.0,,,,,,78.0,8.0,10.0,37.0,474.0,37.0,8.0,19.0,,2025/2026,TN-ITAS
Giani Andrea,3,7,5.0,2.0,6.0,1.0,2.0,14.0,-17.0,24.0,1.0,13.0,4.0,167.0,12.0,11.0,2.0,1.0,4.0,364.0,18.0,,,,2025/2026,TN-ITAS
Laurenzano Gabriele,22,79,,,,,,,,399.0,36.0,184.0,73.0,183.0,9.0,,,,,,,,,,2025/2026,TN-ITAS
Lavia Daniele,3,12,27.0,10.0,40.0,,5.0,,-12.0,73.0,6.0,34.0,14.0,192.0,11.0,72.0,2.0,7.0,20.0,278.0,25.0,7.0,58.0,,2025/2026,TN-ITAS
Michieletto Alessandro,17,61,258.0,110.0,248.0,23.0,52.0,38.0,-12.0,237.0,19.0,113.0,37.0,156.0,8.0,412.0,21.0,14.0,206.0,500.0,45.0,29.0,48.0,,2025/2026,TN-ITAS
Pesaresi Nicola,7,9,,,,,,,,10.0,1.0,7.0,2.0,200.0,10.0,,,,,,,,,,2025/2026,TN-ITAS
Ramon Jordi,22,79,264.0,98.0,308.0,29.0,69.0,37.0,-13.0,479.0,52.0,263.0,66.0,138.0,3.0,424.0,29.0,21.0,218.0,514.0,45.0,17.0,22.0,,2025/2026,TN-ITAS
Resende Gualberto Flavio,20,71,141.0,45.0,278.0,7.0,27.0,10.0,-7.0,13.0,,8.0,2.0,154.0,15.0,146.0,7.0,8.0,97.0,664.0,62.0,37.0,52.0,,2025/2026,TN-ITAS
Sandu Leonardo Gabriel,2,2,,,,,,,,,,,,,,,,,,,,,,,2025/2026,TN-ITAS
Sbertoli Riccardo,22,80,39.0,32.0,297.0,14.0,30.0,17.0,-5.0,10.0,3.0,6.0,1.0,100.0,-20.0,15.0,,,6.0,400.0,40.0,19.0,24.0,,2025/2026,TN-ITAS
Torwie Simon Valentin,10,32,64.0,22.0,97.0,5.0,22.0,16.0,-18.0,2.0,1.0,,,,-50.0,63.0,1.0,,44.0,698.0,68.0,15.0,47.0,,2025/2026,TN-ITAS
Team Totals,22,80,1329.0,510.0,1855.0,121.0,357.0,151.0,-13.0,1326.0,131.0,672.0,209.0,158.0,6.0,1878.0,110.0,109.0,1017.0,542.0,48.0,191.0,239.0,,2025/2026,TN-ITAS
Acquarone Alessandro,12,18,,,12.0,,1.0,,-8.0,,,,,,,,,,,,,,,,2024/2025,TN-ITAS
Bartha Bela,13,42,91.0,40.0,139.0,12.0,38.0,29.0,-19.0,14.0,1.0,3.0,4.0,286.0,21.0,88.0,4.0,8.0,55.0,625.0,58.0,24.0,57.0,,2024/2025,TN-ITAS
Bristot Alessandro,4,4,,,3.0,,1.0,,-33.0,,,,,,,,,,,,,,,,2024/2025,TN-ITAS
Garcia Fernandez Gabi,22,67,118.0,36.0,165.0,8.0,43.0,12.0,-21.0,2.0,,1.0,,,,212.0,20.0,18.0,101.0,476.0,38.0,9.0,13.0,,2024/2025,TN-ITAS
Kozamernik Jan,14,44,68.0,23.0,173.0,4.0,21.0,9.0,-10.0,12.0,,6.0,2.0,167.0,17.0,84.0,5.0,3.0,46.0,548.0,49.0,18.0,41.0,,2024/2025,TN-ITAS
Laurenzano Gabriele,22,84,,,,,,,,483.0,24.0,236.0,100.0,207.0,16.0,,,,,,,,,,2024/2025,TN-ITAS
Lavia Daniele,21,80,267.0,103.0,329.0,16.0,46.0,20.0,-9.0,436.0,38.0,186.0,107.0,245.0,16.0,484.0,18.0,39.0,220.0,455.0,42.0,31.0,39.0,,2024/2025,TN-ITAS
Magalini Giulio,4,7,19.0,6.0,23.0,3.0,6.0,43.0,-13.0,23.0,4.0,11.0,3.0,130.0,-4.0,31.0,,4.0,15.0,484.0,48.0,1.0,14.0,,2024/2025,TN-ITAS
Michieletto Alessandro,22,84,391.0,158.0,340.0,34.0,67.0,40.0,-10.0,413.0,32.0,175.0,92.0,223.0,15.0,617.0,36.0,23.0,324.0,525.0,47.0,33.0,39.0,,2024/2025,TN-ITAS
Pellacani Marco,5,14,17.0,6.0,34.0,4.0,4.0,29.0,,2.0,,2.0,,,,18.0,,,13.0,722.0,72.0,,,,2024/2025,TN-ITAS
Pesaresi Nicola,3,6,,,,,,,,7.0,1.0,3.0,2.0,286.0,14.0,,,,,,,,,,2024/2025,TN-ITAS
Resende Gualberto Flavio,22,84,205.0,67.0,268.0,7.0,46.0,8.0,-15.0,17.0,,7.0,4.0,235.0,24.0,235.0,4.0,11.0,151.0,643.0,63.0,47.0,56.0,,2024/2025,TN-ITAS
Rychlicki Kamil,20,67,218.0,69.0,172.0,7.0,53.0,10.0,-27.0,5.0,,3.0,1.0,200.0,20.0,352.0,22.0,28.0,190.0,540.0,48.0,21.0,31.0,,2024/2025,TN-ITAS
Sbertoli Riccardo,22,84,54.0,40.0,356.0,18.0,42.0,21.0,-7.0,7.0,1.0,6.0,,,-14.0,16.0,2.0,1.0,6.0,375.0,25.0,30.0,36.0,,2024/2025,TN-ITAS
Team Totals,22,84,1448.0,548.0,2014.0,113.0,368.0,135.0,-13.0,1421.0,101.0,639.0,315.0,222.0,15.0,2137.0,111.0,135.0,1121.0,525.0,47.0,214.0,255.0,,2024/2025,TN-ITAS
Acquarone Alessandro,10,18,1.0,1.0,17.0,,2.0,,-12.0,2.0,,2.0,,,,,,,,,,1.0,6.0,,2023/2024,TN-ITAS
Berger Martin,3,6,5.0,2.0,15.0,1.0,2.0,17.0,-7.0,1.0,,1.0,,,,9.0,1.0,1.0,4.0,444.0,33.0,,,,2023/2024,TN-ITAS
Bernardis Francesco,1,2,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,50.0,,2023/2024,TN-ITAS
Bristot Alessandro,1,4,1.0,1.0,5.0,,3.0,,-60.0,,,,,,,1.0,,,1.0,1000.0,100.0,,,,2023/2024,TN-ITAS
Cavuto Oreste,10,14,21.0,5.0,25.0,,11.0,,-44.0,35.0,3.0,17.0,5.0,143.0,6.0,40.0,2.0,5.0,17.0,425.0,37.0,4.0,29.0,,2023/2024,TN-ITAS
D'Heer Wout,12,23,19.0,9.0,32.0,1.0,11.0,4.0,-31.0,3.0,,1.0,,,,25.0,1.0,5.0,10.0,400.0,36.0,8.0,35.0,,2023/2024,TN-ITAS
Kozamernik Jan,21,76,148.0,55.0,295.0,12.0,40.0,16.0,-9.0,24.0,2.0,8.0,8.0,333.0,25.0,154.0,9.0,11.0,95.0,617.0,56.0,41.0,54.0,,2023/2024,TN-ITAS
Laurenzano Gabriele,22,73,,,,,,,,330.0,27.0,145.0,96.0,291.0,21.0,,,,,,,,,,2023/2024,TN-ITAS
Lavia Daniele,21,75,240.0,83.0,324.0,23.0,52.0,31.0,-9.0,415.0,33.0,179.0,120.0,289.0,21.0,475.0,23.0,28.0,201.0,423.0,37.0,16.0,21.0,,2023/2024,TN-ITAS
Magalini Giulio,9,16,29.0,7.0,24.0,1.0,4.0,6.0,-12.0,41.0,4.0,16.0,13.0,317.0,22.0,66.0,1.0,6.0,27.0,409.0,39.0,1.0,6.0,,2023/2024,TN-ITAS
