Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Bonisoli Pietro,11,23,,,,,,,,31.0,4.0,19.0,4.0,129.0,,,,,,,,,,,2025/2026,VRI
Christenson Micah,21,73,48.0,34.0,287.0,9.0,32.0,12.0,-8.0,11.0,,11.0,,,,25.0,1.0,2.0,12.0,480.0,44.0,27.0,37.0,,2025/2026,VRI
Cortesia Lorenzo,21,65,116.0,43.0,207.0,20.0,68.0,31.0,-23.0,12.0,,7.0,3.0,250.0,25.0,110.0,3.0,3.0,75.0,682.0,65.0,21.0,32.0,,2025/2026,VRI
D'Amico Francesco,12,39,,,,,,,,197.0,13.0,82.0,37.0,188.0,12.0,,,,,,,,,,2025/2026,VRI
Ferreira Souza Darlan,21,68,284.0,92.0,286.0,42.0,100.0,62.0,-20.0,33.0,9.0,16.0,4.0,121.0,-15.0,365.0,26.0,26.0,225.0,616.0,55.0,17.0,25.0,,2025/2026,VRI
Gironi Fabrizio,5,10,13.0,4.0,15.0,2.0,8.0,20.0,-40.0,4.0,3.0,1.0,,,-75.0,25.0,1.0,3.0,10.0,400.0,36.0,1.0,10.0,,2025/2026,VRI
Glatz Lukas,14,28,27.0,6.0,32.0,,11.0,,-34.0,58.0,5.0,26.0,12.0,207.0,12.0,53.0,2.0,3.0,24.0,453.0,42.0,3.0,11.0,,2025/2026,VRI
Keita Noumory,21,68,313.0,116.0,284.0,38.0,105.0,56.0,-24.0,291.0,30.0,159.0,37.0,127.0,2.0,464.0,34.0,35.0,259.0,558.0,48.0,16.0,24.0,,2025/2026,VRI
Mozic Rok,19,61,185.0,65.0,135.0,4.0,31.0,7.0,-20.0,266.0,29.0,132.0,49.0,184.0,8.0,301.0,19.0,17.0,167.0,555.0,49.0,14.0,23.0,,2025/2026,VRI
Nedeljkovic Aleksandar,11,35,67.0,23.0,93.0,3.0,11.0,9.0,-9.0,7.0,1.0,4.0,,,-14.0,72.0,2.0,4.0,47.0,653.0,62.0,17.0,49.0,,2025/2026,VRI
Planinsic Uros,20,47,,,79.0,,6.0,,-8.0,1.0,,1.0,,,,,,,,,,,,,2025/2026,VRI
Sani Francesco,22,69,139.0,50.0,162.0,17.0,53.0,25.0,-22.0,205.0,19.0,99.0,34.0,166.0,7.0,217.0,8.0,16.0,114.0,525.0,49.0,8.0,12.0,,2025/2026,VRI
Staforini Matteo,10,34,,,,,,,,173.0,14.0,82.0,33.0,191.0,11.0,,,,,,,,,,2025/2026,VRI
Valbusa Marco,3,3,4.0,1.0,3.0,,1.0,,-33.0,,,,,,,5.0,,,4.0,800.0,80.0,,,,2025/2026,VRI
Vitelli Marco,21,64,94.0,35.0,208.0,5.0,46.0,8.0,-20.0,23.0,3.0,5.0,6.0,261.0,13.0,104.0,,5.0,62.0,596.0,60.0,27.0,42.0,,2025/2026,VRI
Zingel Aidan,3,5,3.0,1.0,7.0,,1.0,,-14.0,,,,,,,3.0,,,1.0,333.0,33.0,2.0,40.0,,2025/2026,VRI
Team Totals,22,77,1293.0,470.0,1798.0,140.0,473.0,182.0,-19.0,1312.0,130.0,644.0,219.0,167.0,7.0,1744.0,96.0,114.0,1000.0,573.0,52.0,153.0,199.0,,2025/2026,VRI
Abaev Konstantin,22,82,37.0,29.0,297.0,17.0,34.0,21.0,-6.0,6.0,1.0,5.0,,,-17.0,11.0,,,6.0,545.0,55.0,14.0,17.0,,2024/2025,VRI
Bonisoli Pietro,8,12,,,,,,,,9.0,,6.0,3.0,333.0,33.0,,,,,,,,,,2024/2025,VRI
Chevalier Martin,4,7,4.0,1.0,7.0,,2.0,,-29.0,8.0,1.0,4.0,1.0,125.0,,8.0,,,4.0,500.0,50.0,,,,2024/2025,VRI
Cortesia Lorenzo,21,69,129.0,42.0,164.0,7.0,46.0,10.0,-24.0,12.0,,6.0,3.0,250.0,25.0,133.0,1.0,12.0,90.0,677.0,67.0,32.0,46.0,,2024/2025,VRI
D'Amico Francesco,22,81,,,,,,,,382.0,30.0,166.0,86.0,225.0,15.0,,,,,,,,,,2024/2025,VRI
Dzavoronok Donovan,12,43,124.0,51.0,186.0,17.0,25.0,40.0,-4.0,242.0,28.0,107.0,57.0,236.0,12.0,233.0,9.0,20.0,100.0,429.0,39.0,7.0,16.0,,2024/2025,VRI
Ewert Jordan Matthew,3,9,25.0,8.0,26.0,1.0,4.0,11.0,-12.0,38.0,5.0,20.0,7.0,184.0,5.0,41.0,1.0,4.0,23.0,561.0,54.0,1.0,11.0,,2024/2025,VRI
Jensen Mads Kyed,11,28,75.0,27.0,87.0,6.0,20.0,21.0,-16.0,,,,,,,152.0,9.0,16.0,62.0,408.0,35.0,7.0,25.0,,2024/2025,VRI
Keita Noumory,20,75,454.0,164.0,271.0,28.0,74.0,37.0,-17.0,72.0,11.0,37.0,12.0,167.0,1.0,727.0,54.0,74.0,400.0,550.0,48.0,26.0,35.0,,2024/2025,VRI
Mozic Rok,21,72,239.0,86.0,193.0,13.0,42.0,18.0,-15.0,361.0,34.0,152.0,93.0,258.0,16.0,387.0,20.0,40.0,198.0,512.0,46.0,28.0,39.0,,2024/2025,VRI
Sani Francesco,17,51,94.0,30.0,148.0,13.0,28.0,25.0,-10.0,270.0,33.0,125.0,57.0,211.0,9.0,186.0,12.0,15.0,68.0,366.0,30.0,13.0,25.0,,2024/2025,VRI
Spirito Luca,21,56,3.0,3.0,112.0,1.0,8.0,2.0,-6.0,,,,,,,2.0,,,1.0,500.0,50.0,1.0,2.0,,2024/2025,VRI
Vitelli Marco,14,50,57.0,28.0,153.0,8.0,23.0,16.0,-10.0,7.0,,1.0,3.0,429.0,43.0,43.0,1.0,1.0,28.0,651.0,63.0,21.0,42.0,,2024/2025,VRI
Zanotti Andrea,2,2,1.0,,,,,,,,,,,,,1.0,,,1.0,1000.0,100.0,,,,2024/2025,VRI
Zingel Aidan,22,64,84.0,25.0,218.0,3.0,11.0,5.0,-4.0,6.0,,2.0,2.0,333.0,33.0,90.0,4.0,4.0,62.0,689.0,64.0,19.0,30.0,,2024/2025,VRI
