Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Basic Luka,22,62,119.0,32.0,129.0,3.0,31.0,5.0,-22.0,193.0,21.0,91.0,55.0,285.0,18.0,314.0,18.0,22.0,110.0,350.0,29.0,6.0,10.0,,2021/2022,VV
Bisi Fabio,6,19,11.0,3.0,32.0,1.0,6.0,5.0,-16.0,2.0,,,2.0,1000.0,100.0,41.0,9.0,9.0,9.0,220.0,,1.0,5.0,,2021/2022,VV
Borges Almeida Silva Mauricio,24,85,209.0,60.0,275.0,16.0,50.0,19.0,-12.0,479.0,26.0,186.0,153.0,319.0,27.0,450.0,44.0,45.0,180.0,400.0,30.0,13.0,15.0,,2021/2022,VV
Candellaro Davide,24,76,89.0,35.0,198.0,5.0,36.0,7.0,-16.0,24.0,2.0,10.0,4.0,167.0,8.0,116.0,4.0,7.0,54.0,466.0,43.0,30.0,39.0,,2021/2022,VV
Correia De Souza Douglas,10,34,119.0,33.0,113.0,4.0,24.0,12.0,-18.0,210.0,18.0,74.0,74.0,352.0,27.0,268.0,20.0,31.0,110.0,410.0,34.0,5.0,15.0,,2021/2022,VV
Fromm Christian,13,42,113.0,36.0,130.0,7.0,33.0,17.0,-20.0,208.0,27.0,86.0,46.0,221.0,9.0,215.0,7.0,12.0,90.0,419.0,39.0,16.0,38.0,,2021/2022,VV
Gargiulo Giovanni Maria,19,43,52.0,16.0,77.0,2.0,5.0,5.0,-4.0,12.0,1.0,6.0,2.0,167.0,8.0,66.0,2.0,6.0,40.0,606.0,58.0,10.0,23.0,,2021/2022,VV
Nelli Gabriele,12,34,36.0,9.0,55.0,2.0,21.0,6.0,-35.0,1.0,,1.0,,,,62.0,4.0,5.0,33.0,532.0,47.0,1.0,3.0,,2021/2022,VV
Nicotra Alberto Pio,16,27,9.0,4.0,49.0,3.0,18.0,11.0,-31.0,16.0,1.0,6.0,1.0,62.0,,14.0,1.0,3.0,6.0,429.0,36.0,,,,2021/2022,VV
Nishida Yuji,18,61,306.0,108.0,280.0,43.0,74.0,70.0,-11.0,16.0,1.0,10.0,2.0,125.0,6.0,531.0,35.0,55.0,251.0,473.0,41.0,12.0,20.0,,2021/2022,VV
Partenio Pier Paolo,13,17,1.0,,14.0,,4.0,,-29.0,,,,,,,2.0,,,1.0,500.0,50.0,,,,2021/2022,VV
Resende Gualberto Flavio,24,86,239.0,71.0,315.0,8.0,39.0,9.0,-10.0,14.0,2.0,5.0,4.0,286.0,14.0,276.0,14.0,22.0,173.0,627.0,58.0,58.0,67.0,,2021/2022,VV
Rizzo Marco,24,86,,,,,,,,455.0,24.0,212.0,105.0,231.0,18.0,,,,,,,,,,2021/2022,VV
Saitta Davide,24,86,36.0,22.0,236.0,5.0,37.0,6.0,-14.0,15.0,1.0,14.0,,,-7.0,30.0,4.0,2.0,10.0,333.0,20.0,21.0,24.0,,2021/2022,VV
Team Totals,24,86,1339.0,429.0,1903.0,99.0,378.0,115.0,-15.0,1645.0,124.0,701.0,448.0,272.0,20.0,2385.0,162.0,219.0,1067.0,447.0,38.0,173.0,201.0,,2021/2022,VV
